,x,y
0,2491,24
1,1413,40
2,1194,319
3,1104,327
4,1246,329
5,1151,330
6,1053,336
7,1344,357
8,959,378
9,1001,379
10,1389,380
11,1445,413
12,912,432
13,872,440
14,1579,443
15,1502,456
16,829,490
17,1568,517
18,762,549
19,1607,557
20,730,585
21,701,630
22,1676,636
23,670,676
24,1735,720
25,612,761
26,1767,763
27,744,779
28,587,808
29,1819,841
30,1841,882
31,545,891
32,1870,917
33,523,941
34,1888,960
35,496,986
36,1911,1000
37,475,1032
38,1939,1040
39,455,1072
40,1962,1084
41,437,1115
42,1980,1125
43,415,1161
44,2008,1162
45,2097,1175
46,2025,1202
47,380,1237
48,2044,1241
49,363,1283
50,344,1325
51,2099,1349
52,326,1365
53,2138,1421
54,302,1437
55,414,1449
56,2155,1461
57,283,1477
58,326,1480
59,265,1517
60,406,1523
61,2181,1526
62,249,1558
63,2204,1563
64,394,1572
65,2227,1600
66,231,1616
67,322,1624
68,2230,1644
69,213,1658
70,2195,1671
71,294,1683
72,194,1697
73,2270,1706
74,2289,1745
75,180,1770
76,145,1836
77,2447,1844
78,2341,1846
79,2277,1872
80,133,1879
