,x,y
0,1343,144
1,1241,145
2,1385,148
3,1095,154
4,1443,176
5,1051,184
6,1006,213
7,1094,216
8,1046,241
9,964,244
10,1592,284
11,914,289
12,956,293
13,1628,310
14,876,318
15,1662,345
16,842,355
17,812,392
18,1734,416
19,820,444
20,1769,461
21,753,474
22,1798,510
23,717,524
24,768,530
25,1026,534
26,686,566
27,742,581
28,1855,594
29,663,611
30,717,622
31,1881,637
32,634,653
33,696,663
34,1904,675
35,613,699
36,677,703
37,1922,718
38,592,744
39,1951,755
40,563,786
41,1970,795
42,543,832
43,1993,839
44,1938,872
45,586,880
46,2016,881
47,626,888
48,2037,921
49,486,955
50,2054,968
51,460,1001
52,443,1043
53,2087,1045
54,424,1082
55,2114,1083
56,2131,1123
57,396,1156
58,2155,1159
59,2176,1197
60,373,1202
61,2195,1236
62,346,1274
63,2211,1301
64,317,1338
65,2234,1342
66,2248,1383
67,296,1386
68,2269,1421
69,281,1427
70,2292,1486
71,251,1492
72,2449,1531
73,238,1534
74,2321,1551
75,2339,1592
76,212,1598
77,2410,1606
78,2358,1631
79,189,1670
80,2377,1670
81,2394,1710
82,171,1715
83,2407,1753
84,157,1761
85,102,1768
86,2423,1800
87,125,1867
