,x,y
0,1228,91
1,1273,92
2,1322,92
3,1130,95
4,1077,105
5,1378,125
6,1025,128
7,1420,151
8,983,155
9,1474,183
10,1379,184
11,940,187
12,896,217
13,1527,222
14,1702,248
15,1569,257
16,854,264
17,1606,294
18,809,304
19,780,340
20,1683,357
21,749,379
22,1711,415
23,722,417
24,689,462
25,1775,495
26,1802,547
27,628,554
28,1831,587
29,745,597
30,604,598
31,1856,623
32,1885,670
33,566,686
34,1928,744
35,1234,755
36,520,776
37,500,826
38,1966,831
39,1994,878
40,456,906
41,2058,990
42,822,1019
43,2097,1058
44,430,1077
45,2110,1105
46,366,1109
47,2206,1129
48,2145,1136
49,347,1162
50,1208,1171
51,2175,1209
52,2194,1248
53,303,1253
54,189,1270
55,2217,1285
56,1402,1311
57,2231,1326
58,267,1347
59,341,1384
60,248,1386
61,2258,1391
62,229,1426
63,2292,1455
64,208,1492
65,2308,1497
66,2332,1533
67,179,1561
68,2346,1574
69,1118,1588
70,2367,1612
71,152,1635
72,2381,1653
73,2312,1661
74,2404,1690
75,124,1718
76,2418,1737
77,2032,1738
78,948,1748
79,107,1763
80,1982,1765
81,351,1798
82,2024,1801
83,2459,1813
84,93,1814
85,1747,1814
86,554,1820
87,1906,1841
88,340,1850
89,616,1857
90,1201,1857
91,480,1859
92,2337,1865
93,681,1870
94,390,1877
95,728,1877
96,76,1887
97,13,1889
