,x,y
0,1402,159
1,1298,163
2,1250,167
3,1201,171
4,1342,177
5,1437,186
6,1482,190
7,1197,215
8,1328,238
9,1282,241
10,1103,243
11,1395,243
12,1579,245
13,1443,253
14,1208,257
15,1061,271
16,1628,282
17,1011,320
18,1681,330
19,971,351
20,1719,361
21,906,420
22,1787,430
23,870,462
24,1822,473
25,841,503
26,807,550
27,1880,570
28,774,590
29,1909,607
30,748,636
31,1936,650
32,721,680
33,1959,691
34,2407,694
35,1984,733
36,679,765
37,2013,774
38,649,811
39,2024,819
40,553,853
41,624,855
42,606,896
43,2064,897
44,580,939
45,2087,944
46,556,982
47,539,1022
48,2126,1023
49,2148,1064
50,508,1096
51,2166,1107
52,2259,1113
53,479,1142
54,2187,1145
55,457,1180
56,2201,1186
57,439,1220
58,2220,1225
59,2234,1266
60,413,1288
61,390,1326
62,2264,1330
63,372,1366
64,2292,1405
65,355,1406
66,331,1468
67,2319,1476
68,314,1509
69,2417,1517
70,2336,1521
71,1712,1524
72,296,1549
73,2353,1561
74,2425,1568
75,271,1609
76,2378,1628
77,249,1647
78,2397,1667
79,1597,1685
80,234,1688
81,218,1729
82,2425,1737
83,789,1818
84,2461,1820
85,184,1851
86,2536,1864
