,x,y
0,1385,266
1,1195,271
2,1335,271
3,1240,272
4,1282,273
5,1433,284
6,1137,297
7,1501,302
8,1087,319
9,1299,338
10,1530,340
11,1258,342
12,1342,345
13,1049,351
14,1183,351
15,1438,355
16,1393,357
17,1121,376
18,1491,376
19,1003,381
20,1585,381
21,953,425
22,1631,426
23,918,457
24,883,486
25,1704,489
26,1848,502
27,853,529
28,1735,531
29,820,564
30,1769,577
31,788,610
32,1802,613
33,745,631
34,1691,658
35,1828,659
36,723,695
37,1857,704
38,696,739
39,1880,749
40,668,781
41,643,822
42,1929,833
43,617,868
44,1955,870
45,743,898
46,596,913
47,1971,913
48,1996,952
49,573,957
50,740,964
51,2017,996
52,547,998
53,526,1041
54,2037,1042
55,501,1082
56,2061,1083
57,633,1094
58,484,1123
59,2080,1125
60,461,1161
61,2100,1168
62,531,1190
63,443,1202
64,2121,1206
65,421,1241
66,2139,1246
67,400,1282
68,2160,1284
69,474,1306
70,368,1351
71,2191,1355
72,350,1392
73,2212,1393
74,333,1432
75,2231,1432
76,313,1471
77,2248,1472
78,2382,1530
79,282,1536
80,2273,1540
81,268,1577
82,2300,1610
83,236,1643
84,323,1646
85,2321,1648
86,219,1683
87,2338,1688
88,192,1745
89,2368,1761
90,174,1785
91,2387,1800
92,2491,1821
93,156,1825
94,139,1868
95,2416,1873
