,x,y
0,1881,152
1,1180,200
2,1273,201
3,1230,202
4,1080,204
5,1134,207
6,1329,214
7,1388,228
8,1031,230
9,981,249
10,1488,290
11,905,312
12,1536,329
13,854,360
14,1576,364
15,2226,364
16,819,394
17,1614,395
18,782,426
19,1650,429
20,1684,469
21,720,504
22,1724,510
23,693,552
24,1751,553
25,663,598
26,1781,599
27,1808,641
28,632,642
29,1836,684
30,606,689
31,1860,723
32,584,732
33,1886,760
34,561,775
35,1813,776
36,1904,802
37,544,823
38,1932,840
39,516,869
40,1954,882
41,493,913
42,1978,926
43,2005,971
44,462,993
45,2026,1009
46,434,1043
47,2044,1050
48,1504,1084
49,417,1085
50,2066,1089
51,397,1124
52,2088,1130
53,2107,1169
54,383,1170
55,1806,1202
56,360,1207
57,2126,1208
58,2149,1245
59,344,1249
60,2178,1313
61,316,1317
62,391,1341
63,297,1362
64,448,1373
65,280,1402
66,2233,1425
67,264,1443
68,252,1485
69,2258,1487
70,811,1507
71,2293,1566
72,210,1577
73,2328,1637
74,184,1651
75,2445,1672
76,2349,1675
77,2368,1714
78,157,1727
79,2248,1745
80,1459,1749
81,2389,1752
82,142,1768
83,2286,1801
84,128,1810
85,2411,1840
86,115,1853
