,x,y
0,1388,180
1,1234,213
2,1288,213
3,1192,218
4,1379,223
5,1435,226
6,1139,230
7,1489,251
8,1096,260
9,1540,271
10,1180,277
11,1045,279
12,1597,312
13,957,355
14,1641,355
15,1430,362
16,916,390
17,1679,390
18,1533,409
19,882,420
20,849,459
21,1750,464
22,1630,473
23,943,497
24,818,498
25,1783,506
26,787,543
27,1810,554
28,886,586
29,750,588
30,1838,595
31,1870,637
32,696,675
33,1895,684
34,671,720
35,1921,727
36,646,765
37,1965,803
38,622,810
39,1983,847
40,599,856
41,577,896
42,2038,933
43,552,939
44,2052,977
45,532,981
46,2076,1018
47,510,1024
48,2099,1057
49,490,1067
50,2115,1101
51,471,1107
52,571,1130
53,2136,1141
54,448,1147
55,2155,1182
56,429,1186
57,2176,1220
58,410,1227
59,2197,1258
60,390,1266
61,2223,1328
62,361,1335
63,2242,1368
64,342,1375
65,2263,1406
66,323,1414
67,2282,1445
68,306,1454
69,2307,1513
70,276,1520
71,2336,1582
72,245,1587
73,2352,1623
74,216,1657
75,2373,1661
76,2390,1701
77,188,1735
78,2404,1742
79,170,1777
80,2421,1782
81,155,1822
82,2435,1823
83,2458,1860
84,138,1873
85,2379,1888
