,x,y
0,1161,285
1,1239,362
2,1282,365
3,1144,368
4,1188,368
5,1328,369
6,1098,380
7,1047,390
8,1559,390
9,1382,392
10,1005,417
11,1488,445
12,925,472
13,1540,480
14,376,484
15,1470,507
16,1577,513
17,871,523
18,1617,545
19,835,553
20,1646,583
21,802,590
22,1682,618
23,1714,660
24,747,668
25,1745,705
26,716,714
27,1778,750
28,1803,792
29,661,802
30,1933,803
31,1893,814
32,1833,830
33,631,850
34,1857,872
35,611,889
36,1882,913
37,678,924
38,589,934
39,1903,952
40,568,980
41,1933,989
42,544,1025
43,1950,1030
44,525,1070
45,1972,1075
46,2092,1098
47,1992,1124
48,1948,1128
49,2100,1141
50,490,1151
51,2162,1171
52,2041,1196
53,465,1198
54,447,1241
55,2073,1278
56,431,1283
57,2094,1317
58,397,1362
59,2134,1383
60,379,1402
61,353,1474
62,2193,1495
63,336,1515
64,318,1555
65,2217,1562
66,313,1599
67,2254,1622
68,377,1636
69,283,1657
70,2265,1671
71,122,1715
72,259,1726
73,1458,1750
74,2321,1763
75,245,1768
76,2342,1801
77,225,1807
78,2442,1824
79,1636,1826
80,699,1858
81,1742,1863
82,2542,1863
83,284,1865
84,2370,1870
85,410,1886
86,500,1886
87,541,1888
88,582,1891
