,x,y
0,1222,115
1,1263,118
2,1187,159
3,1096,161
4,1282,164
5,1383,193
6,998,208
7,1432,217
8,943,234
9,1381,248
10,992,257
11,903,263
12,1424,272
13,1528,299
14,859,309
15,902,310
16,1564,327
17,1597,366
18,1663,368
19,791,375
20,1629,405
21,754,419
22,1791,479
23,1583,481
24,1698,489
25,696,495
26,1727,536
27,651,540
28,706,546
29,1897,585
30,636,591
31,1701,614
32,1786,618
33,605,633
34,1818,663
35,1834,704
36,555,713
37,1857,745
38,534,762
39,1974,764
40,1899,822
41,487,846
42,1923,867
43,444,928
44,423,978
45,1984,994
46,421,1026
47,2013,1034
48,2128,1048
49,383,1054
50,2030,1074
51,344,1137
52,2070,1140
53,320,1179
54,2082,1185
55,2109,1219
56,2122,1261
57,277,1283
58,2156,1331
59,244,1359
60,2177,1369
61,227,1400
62,2188,1411
63,2059,1417
64,285,1426
65,205,1438
66,191,1479
67,2213,1479
68,2236,1516
69,166,1540
70,217,1547
71,2139,1558
72,146,1579
73,2259,1581
74,130,1620
75,2272,1626
76,189,1643
77,107,1686
78,2314,1695
79,73,1768
80,2432,1788
81,56,1821
82,2456,1829
83,2361,1833
84,2276,1858
85,2467,1871
86,2145,1882
