MANUAL      | '02_17_2023 LG 282.jpg': 85.69367218017578 s
MANUAL      | '01_10_2023 LG 282.jpg': 37.9207079410553 s
MANUAL      | '01_06_2023 LG 282.jpg': 59.98364520072937 s
MANUAL      | '12_02_2022 LG 282.jpg': 69.90534996986389 s
FILTER      | '01_27_2023 LG 282.jpg': 0.5933799743652344 s
FIT PROJECT | '01_27_2023 LG 282.jpg': 8.509773015975952 s
FILTER      | '12_23_2022 LG 282.jpg': 0.5595588684082031 s
FIT PROJECT | '12_23_2022 LG 282.jpg': 8.670692205429077 s
FILTER      | '03_18_2023 LG 282.jpg': 0.5065228939056396 s
FIT PROJECT | '03_18_2023 LG 282.jpg': 9.579523801803589 s
FILTER      | '04_21_2023 LG 282.jpg': 0.5252070426940918 s
FIT PROJECT | '04_21_2023 LG 282.jpg': 10.119038105010986 s
FILTER      | '01_31_2023 LG 282.jpg': 0.5273149013519287 s
FIT PROJECT | '01_31_2023 LG 282.jpg': 10.002479076385498 s
FILTER      | '11_08_2022 LG 282.jpg': 0.5449428558349609 s
FIT PROJECT | '11_08_2022 LG 282.jpg': 11.21580195426941 s
FILTER      | '12_16_2022 LG 282.jpg': 0.519716739654541 s
FIT PROJECT | '12_16_2022 LG 282.jpg': 9.3683021068573 s
FILTER      | '02_28_2023 LG 282.jpg': 0.5676767826080322 s
FIT PROJECT | '02_28_2023 LG 282.jpg': 11.214808225631714 s
FILTER      | '11_11_2022 LG 282.jpg': 0.5392599105834961 s
Unable to fit a Hyperbola or Parabola; Circle or Ellipse detected.
See 'fit.jpg' in /processed/fit/11_11_2022 LG 282 for more detail.
A=-4.613239618226402e-07, B=-7.41121838496796e-08, C=-7.673237952357423e-08, D=0.0012865782898143566, E=0.0005970702096001548
FIT PROJECT | '11_11_2022 LG 282.jpg': 0.3184959888458252 s
FILTER      | '01_20_2023 LG 282.jpg': 0.5212109088897705 s
FIT PROJECT | '01_20_2023 LG 282.jpg': 11.513045072555542 s
FILTER      | '03_10_2023 LG 282.jpg': 0.5416412353515625 s
FIT PROJECT | '03_10_2023 LG 282.jpg': 10.417230129241943 s
FILTER      | '04_14_2023 LG 282.jpg': 0.5180408954620361 s
FIT PROJECT | '04_14_2023 LG 282.jpg': 10.607923030853271 s
FILTER      | '02_03_2023 LG 282.jpg': 0.5260181427001953 s
FIT PROJECT | '02_03_2023 LG 282.jpg': 10.306979656219482 s
FILTER      | '03_07_2023 LG 282.jpg': 0.5180740356445312 s
FIT PROJECT | '03_07_2023 LG 282.jpg': 10.290786027908325 s
FILTER      | '01_13_2023 LG 282.jpg': 0.5332560539245605 s
FIT PROJECT | '01_13_2023 LG 282.jpg': 9.948421001434326 s
FILTER      | '02_14_2023 LG 282.jpg': 0.5233399868011475 s
FIT PROJECT | '02_14_2023 LG 282.jpg': 10.657819032669067 s
FILTER      | '11_22_2022 LG 282.jpg': 0.5291008949279785 s
FIT PROJECT | '11_22_2022 LG 282.jpg': 10.94665813446045 s
FILTER      | '01_02_2023 LG 282.jpg': 0.5311322212219238 s
FIT PROJECT | '01_02_2023 LG 282.jpg': 7.847399950027466 s
FILTER      | '12_06_2022 LG 282.jpg': 0.503751277923584 s
FIT PROJECT | '12_06_2022 LG 282.jpg': 10.424448013305664 s
FILTER      | '02_21_2023 LG 282.jpg': 0.5008487701416016 s
FIT PROJECT | '02_21_2023 LG 282.jpg': 11.201621055603027 s
FILTER      | '11_25_2022 LG 282.jpg': 0.5250418186187744 s
FIT PROJECT | '11_25_2022 LG 282.jpg': 11.602562189102173 s
FILTER      | '11_18_2022 LG 282.jpg': 0.5232412815093994 s
FIT PROJECT | '11_18_2022 LG 282.jpg': 8.305379867553711 s
FILTER      | '03_24_2023 LG 282.jpg': 0.5045897960662842 s
FIT PROJECT | '03_24_2023 LG 282.jpg': 12.145312070846558 s
FILTER      | '04_04_2023 LG 282.jpg': 0.5146527290344238 s
FIT PROJECT | '04_04_2023 LG 282.jpg': 9.123908758163452 s
FILTER      | '12_09_2022 LG 282.jpg': 0.5408692359924316 s
FIT PROJECT | '12_09_2022 LG 282.jpg': 13.11598014831543 s
FILTER      | '03_21_2023 LG 282.jpg': 0.5166668891906738 s
FIT PROJECT | '03_21_2023 LG 282.jpg': 12.233921766281128 s
FILTER      | '04_25_2023 LG 282.jpg': 0.5474221706390381 s
FIT PROJECT | '04_25_2023 LG 282.jpg': 8.809393167495728 s
FILTER      | '04_18_2023 LG 282.jpg': 0.540600061416626 s
FIT PROJECT | '04_18_2023 LG 282.jpg': 14.231949090957642 s
FILTER      | '02_24_2023 LG 282.jpg': 0.541417121887207 s
FIT PROJECT | '02_24_2023 LG 282.jpg': 8.563330173492432 s
FILTER      | '12_20_2022 LG 282.jpg': 0.5262389183044434 s
FIT PROJECT | '12_20_2022 LG 282.jpg': 14.506986856460571 s
FILTER      | '01_24_2023 LG 282.jpg': 0.5095179080963135 s
FIT PROJECT | '01_24_2023 LG 282.jpg': 8.340981006622314 s
FILTER      | '03_14_2023 LG 282.jpg': 0.5032720565795898 s
FIT PROJECT | '03_14_2023 LG 282.jpg': 8.338549852371216 s
FILTER      | '02_07_2023 LG 282.jpg': 0.5433070659637451 s
FIT PROJECT | '02_07_2023 LG 282.jpg': 15.321929931640625 s
FILTER      | '11_15_2022 LG 282.jpg': 0.5264818668365479 s
FIT PROJECT | '11_15_2022 LG 282.jpg': 8.604875087738037 s
FILTER      | '03_28_2023 LG 282.jpg': 0.5137760639190674 s
FIT PROJECT | '03_28_2023 LG 282.jpg': 15.412192106246948 s
FILTER      | '03_31_2023 LG 282.jpg': 0.5336389541625977 s
FIT PROJECT | '03_31_2023 LG 282.jpg': 8.060941934585571 s
FILTER      | '04_11_2023 LG 282.jpg': 0.5215916633605957 s
FIT PROJECT | '04_11_2023 LG 282.jpg': 8.26404595375061 s
FILTER      | '03_03_2023 LG 282.jpg': 0.5189878940582275 s
FIT PROJECT | '03_03_2023 LG 282.jpg': 16.196393966674805 s
FILTER      | '04_07_2023 LG 282.jpg': 0.5450780391693115 s
FIT PROJECT | '04_07_2023 LG 282.jpg': 8.430697917938232 s
FILTER      | '01_17_2023 LG 282.jpg': 0.5369138717651367 s
FIT PROJECT | '01_17_2023 LG 282.jpg': 17.977730751037598 s
FILTER      | '11_29_2022 LG 282.jpg': 0.5446300506591797 s
FIT PROJECT | '11_29_2022 LG 282.jpg': 8.529356241226196 s
FILTER      | '02_10_2023 LG 282.jpg': 0.5344157218933105 s
FIT PROJECT | '02_10_2023 LG 282.jpg': 8.195015907287598 s
FILTER      | '12_13_2022 LG 282.jpg': 0.5208089351654053 s
FIT PROJECT | '12_13_2022 LG 282.jpg': 21.62623691558838 s
FILTER      | '12_29_2022 LG 282.jpg': 0.5104923248291016 s
FIT PROJECT | '12_29_2022 LG 282.jpg': 7.549638032913208 s
FILTER      | '02_17_2023 LG 282.jpg': 0.5105667114257812 s
FIT PROJECT | '02_17_2023 LG 282.jpg': 8.08213996887207 s
FILTER      | '01_10_2023 LG 282.jpg': 0.5125019550323486 s
FIT PROJECT | '01_10_2023 LG 282.jpg': 24.05024790763855 s
FILTER      | '01_06_2023 LG 282.jpg': 0.5636990070343018 s
FIT PROJECT | '01_06_2023 LG 282.jpg': 8.430799961090088 s
FILTER      | '12_02_2022 LG 282.jpg': 0.5042660236358643 s
FIT PROJECT | '12_02_2022 LG 282.jpg': 8.233376026153564 s
