,x,y
0,1224,33
1,1282,34
2,1332,38
3,1381,41
4,1172,42
5,1116,57
6,1446,57
7,1494,79
8,1019,104
9,1542,106
10,1426,112
11,1583,143
12,1631,178
13,945,179
14,909,211
15,879,247
16,1707,261
17,844,284
18,1744,299
19,787,373
20,1803,386
21,754,420
22,1829,428
23,724,467
24,705,519
25,1881,520
26,636,534
27,1497,548
28,680,562
29,1906,582
30,655,608
31,634,650
32,1956,659
33,2478,694
34,609,695
35,2224,701
36,1977,703
37,2304,704
38,592,739
39,2448,748
40,1995,750
41,572,784
42,2013,793
43,499,825
44,546,827
45,2038,834
46,525,871
47,2057,874
48,508,912
49,2074,914
50,2121,935
51,488,952
52,2085,956
53,426,966
54,2104,995
55,469,996
56,2125,1033
57,450,1039
58,2136,1079
59,435,1082
60,2149,1122
61,418,1128
62,394,1164
63,2172,1167
64,339,1175
65,378,1205
66,2191,1206
67,363,1248
68,2209,1250
69,342,1293
70,2236,1334
71,326,1337
72,2256,1377
73,303,1380
74,227,1404
75,2270,1419
76,1232,1446
77,2290,1462
78,268,1464
79,247,1510
80,2324,1548
81,232,1554
82,164,1583
83,2342,1591
84,211,1597
85,2358,1634
86,193,1644
87,2378,1678
88,176,1693
89,662,1737
90,2418,1769
91,87,1781
92,143,1783
93,2431,1820
94,2448,1875
95,2405,1878
