,x,y
0,1866,22
1,1147,106
2,1422,151
3,1151,165
4,1208,166
5,1321,169
6,1271,174
7,1366,176
8,1041,206
9,1469,218
10,1092,224
11,996,242
12,1518,249
13,1429,253
14,1152,260
15,951,274
16,1560,279
17,910,311
18,1604,324
19,842,377
20,1679,406
21,673,410
22,808,420
23,1712,445
24,777,462
25,1742,488
26,744,504
27,1771,532
28,714,547
29,1801,578
30,691,596
31,1825,628
32,665,641
33,1846,679
34,639,691
35,1872,727
36,612,738
37,666,748
38,587,777
39,1884,777
40,566,827
41,1938,860
42,546,869
43,1858,882
44,1936,906
45,526,913
46,477,986
47,2014,1031
48,439,1080
49,2034,1110
50,404,1174
51,2071,1192
52,365,1253
53,2109,1280
54,344,1370
55,2140,1370
56,2158,1419
57,266,1458
58,2174,1462
59,2182,1505
60,232,1520
61,240,1563
62,2226,1592
63,208,1600
64,2242,1637
65,186,1645
66,167,1686
67,2254,1687
68,142,1731
69,130,1773
70,1942,1782
71,2229,1801
72,2305,1819
73,115,1823
74,2373,1827
75,2215,1849
76,744,1869
77,98,1872
78,2332,1881
79,538,1890
