,x,y
0,1386,21
1,1345,109
2,1399,112
3,1183,120
4,1125,132
5,1452,133
6,1505,155
7,1080,157
8,1035,183
9,1547,186
10,1591,217
11,991,221
12,1634,261
13,929,287
14,1672,298
15,895,325
16,1705,336
17,861,363
18,1739,375
19,828,406
20,879,419
21,1767,426
22,770,495
23,1823,501
24,741,541
25,1850,554
26,694,634
27,1899,647
28,669,683
29,1923,698
30,624,766
31,1968,780
32,606,815
33,1528,822
34,584,853
35,2004,873
36,561,894
37,2021,914
38,541,940
39,2042,954
40,1599,961
41,520,980
42,2053,996
43,503,1022
44,2072,1035
45,406,1052
46,487,1063
47,1589,1065
48,2064,1083
49,466,1107
50,2105,1114
51,448,1149
52,2101,1165
53,429,1190
54,359,1198
55,2115,1211
56,414,1231
57,2150,1246
58,394,1271
59,2171,1284
60,379,1314
61,2169,1336
62,359,1357
63,2199,1368
64,342,1399
65,2326,1427
66,324,1442
67,2229,1447
68,235,1481
69,305,1486
70,2245,1498
71,2262,1539
72,2433,1555
73,273,1566
74,2277,1587
75,253,1611
76,233,1656
77,2306,1663
78,373,1690
79,218,1699
80,2324,1709
81,201,1745
82,2337,1755
83,182,1790
84,2352,1798
85,2541,1833
86,156,1880
87,66,1884
88,2543,1890
