,x,y
0,1170,186
1,1286,188
2,1285,237
3,1179,240
4,1232,242
5,1338,258
6,1081,268
7,1391,274
8,1433,299
9,970,318
10,1187,325
11,1483,331
12,1256,343
13,931,346
14,1528,366
15,887,387
16,1572,402
17,1612,436
18,1644,475
19,1679,516
20,1564,529
21,758,552
22,1715,558
23,733,593
24,1738,598
25,834,610
26,1765,643
27,709,645
28,1721,720
29,1824,736
30,1847,787
31,618,815
32,1898,861
33,593,888
34,1939,947
35,1960,989
36,542,1020
37,1982,1032
38,506,1084
39,2017,1107
40,2036,1148
41,2075,1228
42,363,1269
43,449,1279
44,2069,1285
45,353,1314
46,2116,1314
47,434,1322
48,2135,1355
49,407,1407
50,300,1448
51,378,1466
52,285,1775
53,2354,1833
