,x,y
0,1266,129
1,1324,130
2,1379,131
3,1429,138
4,1162,154
5,1484,154
6,1112,181
7,1293,182
8,1349,182
9,1421,195
10,1064,204
11,1576,204
12,1159,209
13,1024,240
14,1708,246
15,988,280
16,1664,280
17,956,308
18,1700,316
19,1736,357
20,893,383
21,1768,394
22,803,426
23,856,426
24,1801,433
25,832,472
26,1821,476
27,795,519
28,1847,522
29,1874,567
30,746,608
31,1892,617
32,1956,633
33,672,654
34,724,654
35,1920,668
36,1869,673
37,701,704
38,1944,718
39,674,743
40,1965,759
41,649,788
42,1987,804
43,607,877
44,2019,886
45,582,917
46,2039,929
47,2054,972
48,542,1002
49,2071,1012
50,510,1082
51,2097,1090
52,486,1128
53,469,1168
54,2129,1175
55,450,1212
56,434,1254
57,2158,1261
58,412,1293
59,2178,1305
60,395,1339
61,2195,1347
62,378,1383
63,2209,1392
64,341,1464
65,2239,1478
66,322,1507
67,304,1550
68,2195,1558
69,2267,1562
70,285,1592
71,2284,1612
72,271,1636
73,250,1680
74,218,1768
75,2340,1776
76,199,1815
77,2242,1857
78,186,1861
