,arclength loc,x_2D,y_2D,tangent_x,tangent_y,normal_x,normal_y
0,0,120.30045853427828,1943.0474093832452,1,-3.1306273169966445,0.9525830674894533,0.30427865441463986
1,1,120.60476083722428,1942.0948338700066,1,-3.1300910441420218,0.9525679561993409,0.3043259581800586
2,2,120.90911046423989,1941.1422734758396,1,-3.129554469210444,0.9525528293419552,0.3043733025622254
3,3,121.2135074559674,1940.1897282163231,1,-3.129017591958137,0.952537686894216,0.30442068761208807
4,4,121.5179518530998,1939.237198107059,1,-3.1284804121410548,0.9525225288329979,0.30446811338067964
5,5,121.82244369638157,1938.2846831636723,1,-3.127942929514881,0.9525073551351311,0.3045155799191187
6,6,122.12698302660813,1937.3321834018113,1,-3.1274051438350328,0.9524921657774001,0.3045630872786091
7,7,122.43156988462616,1936.3796988371475,1,-3.12686705485665,0.9524769607365448,0.3046106355104409
8,8,122.73620431133365,1935.4272294853758,1,-3.1263286623346103,0.9524617399892594,0.3046582246659893
9,9,123.04088634767992,1934.4747753622141,1,-3.1257899660235133,0.9524465035121933,0.3047058547967163
10,10,123.3456160346661,1933.522336483404,1,-3.1252509656776897,0.9524312512819502,0.3047535259541698
11,11,123.65039341334473,1932.5699128647102,1,-3.124711661051197,0.9524159832750878,0.3048012381899844
12,12,123.95521852481983,1931.617504521921,1,-3.1241720518978204,0.952400699468119,0.3048489915558813
13,13,124.26009141024764,1930.6651114708488,1,-3.123632137971073,0.9523853998375099,0.30489678610366816
14,14,124.56501211083584,1929.7127337273284,1,-3.1230919190241933,0.9523700843596821,0.30494462188524024
15,15,124.86998066784425,1928.7603713072192,1,-3.122551394810149,0.9523547530110095,0.30499249895257935
16,16,125.17499712258464,1927.8080242264039,1,-3.122010565081628,0.9523394057678211,0.3050404173577553
17,17,125.48006151642085,1926.8556925007886,1,-3.1214694295910497,0.952324042606399,0.30508837715292475
18,18,125.78517389076904,1925.9033761463036,1,-3.1209279880905547,0.9523086635029799,0.3051363783903329
19,19,126.09033428709769,1924.9510751789028,1,-3.120386240332011,0.9522932684337526,0.3051844211223121
20,20,126.39554274692742,1923.9987896145637,1,-3.119844186067008,0.9522778573748607,0.30523250540128344
21,21,126.70079931183167,1923.0465194692883,1,-3.1193018250468603,0.9522624303024003,0.3052806312797559
22,22,127.00610402343604,1922.0942647591019,1,-3.1187591570226068,0.952246987192421,0.30532879881032715
23,23,127.31145692341909,1921.142025500054,1,-3.118216181745008,0.9522315280209255,0.3053770080456834
24,24,127.61685805351188,1920.1898017082183,1,-3.117672898964548,0.9522160527638694,0.3054252590385998
25,25,127.92230745549847,1919.2375933996923,1,-3.117129308431433,0.9522005613971614,0.3054735518419404
26,26,128.22780517121578,1918.2854005905976,1,-3.1165854098955896,0.9521850538966626,0.3055218865086589
27,27,128.53335124255358,1917.3332232970804,1,-3.1160412031066675,0.952169530238187,0.3055702630917979
28,28,128.838945711455,1916.3810615353104,1,-3.115496687814037,0.9521539903975006,0.3056186816444898
29,29,129.14458861991608,1915.4289153214822,1,-3.1149518637667897,0.9521384343503231,0.3056671422199569
30,30,129.4502800099864,1914.4767846718144,1,-3.114406730713734,0.9521228620723251,0.30571564487151154
31,31,129.7560199237685,1913.52466960255,1,-3.1138612884034016,0.9521072735391299,0.305764189652556
32,32,130.06180840341864,1912.5725701299561,1,-3.113315536584044,0.9520916687263132,0.3058127766165829
33,33,130.36764549114685,1911.620486270325,1,-3.112769475003628,0.9520760476094022,0.3058614058171759
34,34,130.6735312292164,1910.668418039973,1,-3.1122231034098404,0.9520604101638762,0.30591007730800907
35,35,130.97946565994428,1909.7163654552407,1,-3.111676421550087,0.9520447563651656,0.3059587911428473
36,36,131.2854488257015,1908.764328532494,1,-3.111129429171492,0.9520290861886533,0.3060075473755468
37,37,131.591480768913,1907.8123072881226,1,-3.110582126020894,0.9520133996096735,0.3060563460600554
38,38,131.89756153205732,1906.8603017385417,1,-3.110034511844851,0.951997696603511,0.30610518725041175
39,39,132.20369115766758,1905.9083119001907,1,-3.109486586389637,0.9519819771454024,0.30615407100074676
40,40,132.50986968833084,1904.9563377895338,1,-3.1089383494012393,0.9519662412105359,0.3062029973652833
41,41,132.8160971666885,1904.0043794230603,1,-3.108389800625364,0.9519504887740499,0.3062519663983362
42,42,133.12237363543616,1903.0524368172844,1,-3.1078409398074305,0.9519347198110338,0.3063009781543125
43,43,133.42869913732397,1902.100509988745,1,-3.107291766692574,0.9519189342965281,0.3063500326877119
44,44,133.73507371515674,1901.148598954006,1,-3.1067422810256424,0.9519031322055239,0.3063991300531269
45,45,134.0414974117938,1900.1967037296565,1,-3.106192482551201,0.9518873135129626,0.3064482703052425
46,46,134.34797027014918,1899.2448243323106,1,-3.1056423710135235,0.9518714781937361,0.3064974534988372
47,47,134.65449233319188,1898.2929607786077,1,-3.1050919461565996,0.9518556262226866,0.30654667968878285
48,48,134.96106364394555,1897.3411130852119,1,-3.1045412077241323,0.9518397575746065,0.3065959489300444
49,49,135.26768424548925,1896.3892812688132,1,-3.1039901554595337,0.9518238722242381,0.30664526127768094
50,50,135.5743541809568,1895.4374653461264,1,-3.10343878910593,0.9518079701462739,0.3066946167868452
51,51,135.88107349353726,1894.4856653338916,1,-3.10288710840616,0.9517920513153559,0.3067440155127838
52,52,136.18784222647525,1893.5338812488746,1,-3.1023351131027685,0.9517761157060759,0.30679345751083825
53,53,136.49466042307048,1892.5821131078665,1,-3.101782802938015,0.9517601632929751,0.30684294283644425
54,54,136.8015281266784,1891.6303609276838,1,-3.101230177653866,0.9517441940505442,0.30689247154513216
55,55,137.1084453807097,1890.6786247251687,1,-3.1006772369920017,0.9517282079532238,0.30694204369252726
56,56,137.415412228631,1889.7269045171888,1,-3.1001239806938075,0.9517122049754023,0.30699165933434996
57,57,137.72242871396472,1888.7752003206376,1,-3.0995704085003792,0.9516961850914186,0.3070413185264161
58,58,138.02949488028892,1887.823512152434,1,-3.099016520152519,0.9516801482755598,0.30709102132463706
59,59,138.33661077123784,1886.8718400295227,1,-3.0984623153907402,0.9516640945020615,0.30714076778501964
60,60,138.64377643050173,1885.9201839688742,1,-3.09790779395526,0.9516480237451087,0.3071905579636669
61,61,138.95099190182677,1884.968543987485,1,-3.0973529555860053,0.9516319359788347,0.30724039191677793
62,62,139.2582572290158,1884.0169201023773,1,-3.0967978000226077,0.9516158311773207,0.3072902697006481
63,63,139.56557245592754,1883.0653123305995,1,-3.096242327004404,0.951599709314597,0.3073401913716695
64,64,139.8729376264775,1882.1137206892256,1,-3.0956865362704407,0.9515835703646416,0.3073901569863309
65,65,140.18035278463756,1881.1621451953558,1,-3.0951304275594658,0.9515674143013806,0.3074401666012178
66,66,140.48781797443635,1880.2105858661166,1,-3.094574000609931,0.951551241098688,0.3074902202730134
67,67,140.79533323995915,1879.2590427186606,1,-3.0940172551599967,0.9515350507303858,0.3075403180584978
68,68,141.10289862534805,1878.3075157701664,1,-3.0934601909475234,0.9515188431702433,0.307590460014549
69,69,141.41051417480202,1877.3560050378392,1,-3.0929028077100753,0.9515026183919776,0.30764064619814274
70,70,141.71817993257724,1876.40451053891,1,-3.092345105184922,0.9514863763692528,0.30769087666635253
