,x,y,gradient,smoothness,gradient_even,smoothness_even
2,272.5,1783.5,-0.592153777325251,0.06356804877733982,18.0,3.6991459809730376
3,288.0,1739.0,-2.4148452929558815,-0.06382587423474056,-43.0,-0.6521250447423146
6,366.0,1570.0,-2.360731861588061,-0.00019206995053621528,-42.5,-0.2394810100738951
7,391.5,1528.5,-3.1127623787470213,-0.03836414789322784,-42.5,-0.6196173806742307
10,521.0,461.0,-96.56127450980392,11.83084035155121,-18.25,97.2018986588703
12,550.0,1203.5,-2.3167354661162705,-1.2569848243458166,-41.5,-20.35555349241935
13,569.0,1161.5,-3.434653299916455,-0.035899598045846026,-47.5,-0.689013219322816
16,636.0,992.5,-2.2812363707986894,0.013580966820819673,-42.0,0.34340216144758173
17,664.5,946.5,-1.7554449653047755,-0.0007662599341416026,-44.5,0.07575427589068351
18,687.5,903.5,-2.1297278190173223,-0.005640705316743599,-42.5,-0.16301825808835346
19,705.5,861.5,-2.0814814814814824,0.004257716548454152,-44.0,0.1135439725504277
20,732.5,815.5,-1.902639873916467,0.00228806584362147,-43.5,0.08018518518518736
21,752.5,774.5,-1.9211111111111077,0.0012844409421241057,-42.5,0.04131993695823333
22,777.5,730.5,-1.8200000000000003,0.0002086422538034871,-45.5,0.00521605634508715
25,887.0,544.0,-1.2337048793090712,0.004846642265344769,-42.75,0.19432522149488363
28,1125.0,287.0,-0.7457452017234631,0.15730130322598518,-49.75,5.950627078902711
30,1233.0,1894.0,-16.118750460654002,-0.30994235844346396,-18.0,-18.00438848196301
32,1327.0,215.5,-0.04061745207872969,0.2407831820394662,-1.75,12.603054366632326
33,1388.0,219.5,0.0799742294705752,0.0017480865741995376,7.5,0.13139162137194993
34,1493.0,230.5,0.22216579066517017,0.0028493494473663564,14.0,0.17993538272958254
35,1552.0,247.5,0.4398449949297403,0.0032011269229454365,21.0,0.1724843561294036
36,1597.0,272.5,0.5671345029239774,0.7720397996294518,27.0,40.73161596407359
38,1662.0,1896.0,47.6941798941799,-2.7377082206101813,17.0,-65.17140606670019
41,1862.0,536.0,1.4939393939393941,0.007535311792367168,40.5,0.19878595279819233
42,1887.0,576.0,1.7206636500754122,0.0069893505187622815,44.0,0.1761072261072263
43,1913.0,624.0,1.8461538461538467,0.0016420815761112872,48.0,0.04269412097889358
44,1939.0,672.0,1.8060518920331994,0.0032426872856384445,48.25,0.09412653639945745
46,1989.5,772.5,2.130434782608697,0.005349584476636617,49.0,0.12304044296264216
47,2012.5,818.5,2.280487804878046,1.529439305219655,45.5,24.566600790513842
49,2025.0,663.5,42.424075924075936,2.1992096139154973,21.5,-23.18483575248282
51,2067.5,949.5,5.154943096119567,0.025057578849216777,47.5,0.2413591723655566
54,2135.5,1113.5,2.3532212885154067,0.02307764996638148,41.0,0.3981591524468939
55,2152.5,1156.5,2.8396681749622914,0.17474676655672028,41.5,2.105440637793567
56,2165.5,1196.5,6.564102564102541,0.13747307705393286,47.0,2.0668441465655167
57,2172.0,1250.5,6.973356468093325,0.017486780118706323,43.0,-2.3875218399791933
58,2200.5,1282.5,1.7890588841441541,-0.04935586275870814,39.25,-2.120785860837218
67,2407.0,1883.0,3.5813575547096157,-0.013006920081417418,-4.25,-2.1145471898436847
