,x,y,gradient,smoothness,gradient_even,smoothness_even
0,220.5,1704.5,-2.0476190476190474,0.0011337868480728122,-43.0,0.023809523809529054
1,241.5,1661.5,-2.0238095238095184,0.0011337868480723948,-42.5,0.023809523809520172
2,262.5,1619.5,-2.000000000000007,-0.0970352445160194,-41.0,-1.8933908391039278
4,304.0,1366.5,0.6483850692402768,0.2836622437290689,-42.5,5.334255395305084
5,319.5,1494.5,4.857919588592795,0.12421049632107345,17.25,-1.4109878210201678
13,581.5,903.5,-1.9052065647990908,-0.021049743665515694,-40.75,-0.2589141953025802
14,599.5,864.5,-2.590008841732981,-2.2763126420769417,-40.75,-29.917775070090876
16,622.0,68.5,-75.93485904289169,-1.1506875308080238,-43.25,33.5277339923022
23,1026.0,249.0,-0.6679119247897076,0.004235063352486977,-29.25,0.18496905888513093
24,1073.0,227.5,-0.5376962887601189,0.002031170353043842,-24.75,0.09503299366175849
25,1118.5,199.5,-0.47784593746619064,0.0019155049477442012,-21.75,0.22113579314151544
26,1231.0,184.0,-0.09542470247708801,0.0022730955597411837,-9.75,0.23738761472599673
27,1284.0,180.0,-0.0030707080141971765,0.001261168409947046,-0.5,0.06598227538789492
28,1332.0,183.0,0.03653984829870183,0.001990348314131564,1.75,0.09661990454083913
29,1380.5,183.5,0.19016910106748108,0.003633373905348713,9.5,0.17850588346237006
30,1430.0,202.0,0.39355161522344195,0.0034335295991194392,29.75,0.20323085498678606
31,1525.0,243.0,0.5966308110410532,0.0026915114062683425,36.25,0.17042003367090053
32,1571.5,274.5,0.734391682565243,0.00243947985186969,35.0,0.11480655412733731
33,1620.0,313.0,0.8262439192957278,0.002006122274968913,36.75,0.08899710910261693
38,1852.0,593.0,1.628053769725307,0.0028146511650990226,48.0,0.082123239631259
39,1881.0,641.0,1.7355919942126832,0.0005594707260399845,47.5,0.02434307850730999
40,1907.0,688.0,1.676739926739927,-0.0016086351987549992,45.0,-0.04207296127692217
45,2094.0,1054.0,2.0618758434547892,-0.006404428093024418,40.0,-0.12450222779169806
50,2245.0,1383.0,2.5501336898395763,-0.005910227250467914,42.0,-0.11029779044485011
51,2262.0,1425.0,2.225832990538869,-0.01125794140500045,42.0,-0.174688057041001
54,2335.0,1596.0,2.193421052631578,-0.005432861266839478,43.5,-0.09011275207095437
55,2356.0,1638.0,2.2837837837837824,0.008317832002042752,41.0,0.1361954565901966
58,2428.0,1810.0,2.4160593792172733,-0.0029406191349510627,47.0,-0.050364693785745374
59,2447.0,1858.0,2.231016644174538,-0.012189233768181134,47.75,-0.2945681511470982
60,2473.0,1905.5,1.8269230769230769,-0.015542060278902353,47.5,-0.40409356725146117
