,x,y,gradient,smoothness,gradient_even,smoothness_even
4,252.0,160.0,46.71241830065358,1.8489149117216166,-45.5,47.98292706556998
6,287.5,1491.5,-2.3318250377073824,-1.2832703074625196,-44.0,-32.372878802580544
7,304.5,1447.5,-2.3639109697933165,0.003319626187273092,-43.0,0.0784125188536926
8,324.5,1405.5,-2.174999999999997,0.003075460947929279,-43.5,0.06150921895858552
11,422.5,1180.5,-2.5391042780748734,0.006139509309900551,-42.0,0.0961067063963097
16,919.0,280.5,-0.43446368446368444,-0.002549024365519563,-15.75,-0.3172385308748946
19,1054.0,147.0,-0.686210382157298,0.015031433566105975,-29.25,0.6794302568489561
20,1095.0,120.0,-0.6051299919592603,0.0026052810174044113,-27.0,0.12480973653319455
21,1145.0,93.0,-0.4365909090909089,0.0034443744715233265,-25.0,0.2826148678808709
22,1255.0,70.0,-0.03990025619751847,0.002075275026632494,-10.0,0.23534128674582305
23,1314.0,73.0,0.03409166440073719,0.0009812197345779499,2.0,0.05600212727297049
24,1365.0,74.0,0.07210399834842252,0.0012187215052528882,10.25,0.1373425342923783
25,1472.0,93.5,0.3087767329854938,0.006706875892172483,20.25,0.37199927065330024
36,2032.5,823.5,2.559232026143789,-0.06922601104496563,43.5,-1.0342214105710044
37,2048.5,864.5,0.3777652917327696,-0.024844364266895624,-37.25,1.7716516244770197
40,2109.0,865.0,-5.705428704096269,-0.12919266335420346,42.25,3.2881848801353435
