,x,y,gradient,smoothness,gradient_even,smoothness_even
0,83.0,1873.5,-0.10638297872340426,-9.355287073659039e-05,-5.0,-0.0043969849246197484
1,130.0,1868.5,-0.110779963648024,-0.00328318906325432,-12.0,-1.0356927186305918
2,282.0,1849.5,-2.1777684159845876,-0.013562258088181345,-28.0,-1.138572998970938
3,297.5,1812.5,-2.3879259615899002,-0.006705977238024005,-40.0,-0.09381211615139762
10,478.0,1348.5,42.67205479452068,-0.0708430980998416,-44.75,-23.077734955416048
11,515.5,1300.5,-3.585263157894758,-0.24596642290658108,-45.0,-23.04174168297463
12,525.5,1258.5,-3.4114285714285764,0.033611929666260254,-39.0,1.0142061334251604
15,613.5,1096.5,-2.3634565829687766,0.0058369001741957124,-42.5,0.12135789869857483
16,634.0,1055.0,-2.1678413873535796,0.002903387898756757,-42.0,0.06924600811602843
17,652.5,1012.5,-2.2249645667367197,0.0012428033344981868,-43.75,0.03610323335932897
18,673.5,967.5,-2.0956349206349216,1.863716661206113,-47.0,47.90434736273344
20,705.0,1844.5,99.03781291172596,0.13921538272440784,-44.5,-52.69683275320068
26,998.0,517.5,-0.8056949656035028,0.0021654963845414276,-32.25,0.08793991711018911
27,1039.0,484.0,-0.6891718167665246,0.004229678188588963,-29.5,0.19504095357591833
28,1086.0,458.5,-0.4156130584516662,0.003518859633265488,-19.0,0.16775762009073647
29,1127.0,446.0,-0.3536565765850517,0.0013376904319213068,-19.25,0.06390728184297911
30,1188.0,420.0,-0.28779849476570796,0.0026438000757136215,-17.5,0.1471620319436886
31,1244.0,411.0,-0.05933251269767448,0.0029555767191034484,-3.25,0.16585587441008443
32,1301.0,413.5,0.04391325405446089,0.0018690788326823234,2.25,0.0951931644654731
33,1346.5,415.5,0.13105381623327172,0.0022604875455628465,6.75,0.11032481944320871
34,1397.0,427.0,0.2645628929408783,0.0021395479711284323,15.0,0.11296963056162257
35,1457.0,445.5,0.35699307735651686,0.001953630225850011,17.25,0.0920517346955978
36,1498.0,461.5,0.4486663623320739,0.003150524359793591,19.25,0.1367414389238495
37,1542.0,484.0,0.6304759552042158,0.0042792652828415965,29.5,0.19746188825937638
38,1590.0,520.5,0.8435901388508267,0.003434028127985024,37.0,0.1593418036208054
41,1742.5,670.5,1.3879781420765003,0.010058512764249725,39.0,0.31324927290822835
42,1768.0,713.0,1.6306878306878279,0.0028043710818716726,42.75,0.06324806631292734
43,1795.0,756.0,1.514474274702355,0.0008072132893575806,43.25,0.04225688368296954
44,1825.5,799.5,1.715201598053767,0.011421068784793646,47.25,0.3024725602420766
45,1851.5,850.5,2.119419395186508,0.0046633910667892645,48.5,0.1619515662067581
46,1872.0,896.5,2.039104730467283,-0.005875785919226259,48.0,-0.1626771203713897
47,1900.5,946.5,1.7940651544437287,0.003027342869125191,46.0,0.02018487996489604
48,1923.5,988.5,2.079474490397075,0.005691832161622001,41.5,0.14661821642893003
49,1941.5,1029.5,2.0873015873015888,0.005603441764629576,42.5,0.15385249839120618
50,1965.5,1073.5,2.3871794871794876,0.05851807779617457,42.5,0.8045581207599248
51,1980.5,1114.5,3.6964178288214384,0.04626090672066452,46.0,0.7397822800758416
58,2166.0,1310.0,-61.40673076923082,1.415233100233083,26.75,-17.306005498125053
59,2158.0,1581.5,-47.31865942028983,-3.8471477275673576,34.0,31.77480117834645
60,2181.0,1378.0,2.142871587462082,-0.793999620829122,15.25,-8.813586956521775
62,2189.0,1839.5,-24.609867860187528,-4.753803832914248,46.0,33.60023063573258
63,2235.0,1704.0,2.254627938131776,0.744802872839955,-32.25,20.268169224211388
66,2284.0,1628.0,4.06590429275159,-0.032584864855506046,16.0,-3.591115106535982
68,2361.0,1829.5,-0.3804093567251492,-0.047176234815646964,-21.25,-3.568552382233422
69,2406.0,1818.5,1.3433805397026681,-0.00976974835029032,45.5,-0.09508603790917114
70,2444.0,1920.5,-0.5705814325434915,-0.05345933275856102,1.0,-1.8246970629765413
71,2475.0,1820.5,-2.3060135862504145,-0.03184327311337534,-48.5,0.3042780580438976
72,2554.0,1823.5,0.0379746835443038,0.02967073759233821,3.0,2.3439882697947185
