,x,y,gradient,smoothness,gradient_even,smoothness_even
9,261.5,1741.0,-2.623062558356672,0.9486668768036319,-46.0,17.577634595504875
11,284.0,1878.0,22.40476190476189,-2.71348034751544,-21.25,-25.00266093160831
14,349.5,1520.5,-2.440709617180204,0.004924886408036247,-42.5,0.07283449800126363
15,366.5,1475.5,-2.1365040861705538,-0.4719108261861427,-41.25,-21.574883286647903
16,398.0,1438.0,-45.59047619047601,0.8614407572785723,-42.25,-21.260695325335778
17,399.0,1391.0,-44.65789473684211,1.0069409767300743,-46.0,21.575002258968016
21,523.5,1096.5,-2.3529411764705905,-0.005751061375739372,-40.0,-0.09776804338756939
22,540.5,1055.5,-2.5882352941176485,0.2191251071394561,-44.0,3.725126821370754
31,674.0,762.0,-2.1666666666666754,0.1092203000269906,3.75,-2.0263548841968664
37,1172.0,139.5,-0.21199905704856215,0.004193000788809094,-12.5,0.22487746501968858
38,1217.0,136.5,-0.07118103055175562,0.0026744092156439844,-9.0,0.15166669020463402
39,1387.0,121.5,0.0913343233607059,0.002093701069609827,2.5,0.2211247792176214
42,1829.0,468.5,1.656796906796906,0.007232182190775101,44.5,0.19321482241181354
43,1855.0,514.5,1.8705478918244882,0.019506793442963653,43.5,0.40740740740740744
44,1876.0,555.5,2.471611721611721,0.01286144485534968,46.75,0.2947028210234368
49,2006.0,828.0,2.720465686274512,0.0008869279549427039,43.5,-0.006371651224592156
52,2071.0,990.0,2.517543614012485,-0.01560031601338685,38.25,-0.250427236560661
53,2091.5,1028.5,2.2341272118603612,0.0019008965905474157,40.75,-0.014700845288221132
54,2108.5,1071.5,2.488141923436043,0.009977562569743186,43.5,0.16949685158616035
55,2126.5,1115.5,2.573120915032682,0.006256083287070377,43.5,0.10345391817216765
62,2298.0,1352.0,217.4074074074074,13.93471128686187,24.25,119.39552014812048
66,2360.0,804.0,131.0327568134172,6.8031805514344414,47.5,-95.75338981201895
