,x,y
0,1217,163
1,1307,164
2,1352,173
3,1162,174
4,1406,188
5,1102,190
6,1455,201
7,1062,212
8,1503,233
9,1011,240
10,1131,244
11,1085,255
12,1546,260
13,974,272
14,1599,307
15,932,311
16,1633,339
17,891,353
18,1674,381
19,28,382
20,863,390
21,2495,402
22,1709,415
23,1866,417
24,828,428
25,1862,468
26,799,473
27,1763,499
28,771,514
29,743,556
30,1818,580
31,722,603
32,1846,631
33,697,647
34,1865,686
35,1889,725
36,1900,767
37,628,773
38,1923,804
39,600,819
40,1937,845
41,1956,884
42,1985,968
43,536,992
44,2030,1051
45,491,1065
46,2047,1104
47,2104,1168
48,2018,1186
49,2110,1215
50,419,1225
51,2126,1261
52,402,1273
53,383,1317
54,2163,1347
55,364,1362
56,348,1404
57,2200,1426
58,328,1445
59,2221,1470
60,2237,1512
61,295,1531
62,2254,1552
63,278,1582
64,2271,1593
65,257,1620
66,2288,1633
67,242,1663
68,2310,1675
69,2323,1721
70,214,1751
71,2340,1766
72,2503,1795
73,186,1797
74,2463,1802
75,2145,1824
76,175,1845
77,2427,1848
78,2375,1856
