,x,y
0,1122,8
1,1261,27
2,1587,60
3,1308,65
4,1364,68
5,1200,69
6,1250,69
7,1410,73
8,1688,98
9,1135,102
10,1092,106
11,1515,111
12,1043,135
13,1665,140
14,1556,150
15,1734,181
16,1494,214
17,1250,239
18,1190,243
19,1042,245
20,1149,249
21,1702,254
22,896,268
23,1782,271
24,1573,280
25,1717,301
26,861,312
27,1752,337
28,1073,379
29,804,398
30,1801,424
31,843,426
32,776,435
33,1831,473
34,748,480
35,1029,498
36,1071,508
37,1855,519
38,724,533
39,861,570
40,1873,571
41,695,582
42,580,601
43,1901,619
44,672,627
45,1921,664
46,530,665
47,647,668
48,1939,706
49,2018,709
50,623,714
51,1960,750
52,604,761
53,1974,794
54,580,800
55,720,801
56,1996,841
57,574,853
58,539,880
59,544,933
60,505,961
61,687,961
62,2059,993
63,2204,1046
64,466,1050
65,384,1081
66,2093,1084
67,308,1125
68,428,1133
69,366,1170
70,2124,1176
71,406,1177
72,390,1220
73,2146,1224
74,2293,1260
75,2160,1265
76,370,1267
77,304,1268
78,515,1289
79,2174,1306
80,352,1307
81,2277,1345
82,2193,1346
83,254,1347
84,330,1353
85,2212,1389
86,2345,1409
87,295,1437
88,149,1472
89,2243,1477
90,275,1483
91,2252,1523
92,255,1525
93,2269,1569
94,239,1571
95,2287,1611
96,368,1632
97,199,1657
98,134,1666
99,2320,1693
100,182,1708
101,124,1715
102,2333,1745
103,164,1755
104,865,1775
105,2219,1779
106,2352,1789
107,145,1801
108,2368,1836
109,2278,1848
110,2454,1882
