,x,y
0,1151,149
1,1201,157
2,978,183
3,1053,217
4,1104,217
5,1164,220
6,1207,220
7,995,237
8,1308,249
9,1136,270
10,1363,270
11,902,282
12,852,312
13,1453,336
14,814,352
15,782,396
16,1535,407
17,1574,444
18,724,475
19,1635,522
20,688,523
21,1664,567
22,624,646
23,1725,660
24,620,699
25,1754,705
26,1777,748
27,578,756
28,1800,790
29,559,805
30,1821,828
31,541,856
32,1838,868
33,524,900
34,1872,915
35,503,945
36,487,993
37,473,1037
38,1950,1063
39,397,1112
40,439,1114
41,1999,1143
42,415,1203
43,2043,1233
44,2062,1279
45,401,1309
46,2072,1323
47,2112,1357
48,356,1381
49,2131,1400
50,343,1423
51,2150,1439
52,330,1470
53,317,1516
54,2194,1518
55,303,1559
56,2205,1567
57,289,1604
58,2227,1607
59,2331,1648
60,2233,1662
61,261,1694
62,247,1740
63,2310,1776
64,235,1790
65,2331,1822
66,223,1837
67,1755,1866
68,2351,1868
69,2432,1875
70,2497,1877
71,2538,1881
