,x,y
0,542,0
1,505,18
2,467,35
3,432,60
4,264,150
5,227,174
6,124,226
7,36,263
8,1099,265
9,1779,398
10,1380,420
11,1473,425
12,1560,440
13,1610,459
14,1263,479
15,1657,481
16,1418,496
17,1339,511
18,1701,521
19,1574,523
20,1187,526
21,1619,536
22,1141,550
23,1779,602
24,969,717
25,1880,721
26,942,762
27,908,799
28,882,840
29,1948,843
30,851,888
31,2011,991
32,763,1046
33,671,1186
34,636,1273
35,2096,1298
36,407,1325
37,2127,1331
38,571,1394
39,2166,1412
40,783,1420
41,1934,1436
42,287,1448
43,527,1471
44,2190,1496
45,506,1509
46,486,1548
47,580,1564
48,744,1577
49,793,1610
50,437,1616
51,759,1651
52,2244,1662
53,417,1674
54,715,1699
55,313,1729
56,1522,1751
57,374,1755
58,2210,1771
59,351,1795
60,2276,1797
61,330,1836
62,2301,1846
63,1050,1865
64,1890,1874
65,307,1886
