,x,y
0,1479,74
1,1378,77
2,1332,79
3,1526,80
4,1433,88
5,1573,96
6,1290,99
7,2300,99
8,1619,113
9,2353,113
10,1236,116
11,1365,133
12,1685,144
13,1177,150
14,1927,168
15,1130,185
16,1799,220
17,1864,262
18,1882,303
19,937,337
20,1924,350
21,885,383
22,927,389
23,1957,393
24,1034,398
25,1995,436
26,843,444
27,2048,485
28,805,498
29,2056,528
30,775,548
31,2087,577
32,747,603
33,893,618
34,2108,624
35,1073,637
36,712,653
37,2134,667
38,865,675
39,366,707
40,838,724
41,2180,733
42,656,751
43,631,800
44,2205,802
45,787,829
46,605,846
47,2224,848
48,760,875
49,573,891
50,747,928
51,547,937
52,1346,941
53,2279,956
54,716,974
55,524,982
56,2324,1011
57,689,1017
58,496,1026
59,481,1069
60,456,1105
61,465,1148
62,422,1153
63,644,1160
64,2387,1165
65,2426,1179
66,610,1194
67,2444,1221
68,895,1258
69,2466,1268
70,2498,1312
71,324,1324
72,516,1324
73,2523,1362
74,295,1376
75,2,1393
76,279,1429
77,407,1448
78,2537,1450
79,251,1463
80,459,1468
81,219,1508
82,451,1537
83,200,1556
84,607,1586
85,168,1605
86,381,1688
87,100,1753
88,320,1803
89,269,1838
