,x,y
0,1698,0
1,1297,43
2,1349,44
3,1243,46
4,1151,65
5,1525,65
6,1437,69
7,1199,73
8,1564,77
9,1092,83
10,1489,92
11,1336,101
12,1050,112
13,1538,123
14,994,153
15,1585,153
16,1689,264
17,874,272
18,1563,296
19,1730,299
20,827,324
21,1768,345
22,1795,400
23,749,433
24,708,485
25,1852,492
26,1881,540
27,690,545
28,1900,593
29,654,594
30,1923,641
31,1947,683
32,610,707
33,1968,728
34,581,753
35,642,757
36,1989,776
37,566,807
38,2003,823
39,2436,826
40,544,851
41,2028,865
42,503,892
43,594,894
44,2047,913
45,2063,956
46,474,995
47,2314,999
48,2082,1081
49,2129,1083
50,413,1122
51,2154,1131
52,397,1169
53,2169,1172
54,2199,1208
55,374,1215
56,2221,1256
57,2245,1301
58,333,1303
59,299,1346
60,2274,1349
61,288,1401
62,2289,1402
63,2317,1451
64,267,1453
65,238,1495
66,2360,1536
67,221,1540
68,204,1587
69,2384,1588
70,170,1640
71,2412,1641
72,151,1688
73,2433,1688
74,1978,1718
75,2463,1731
76,129,1734
77,443,1774
78,398,1821
79,2505,1828
80,82,1844
81,1136,1867
82,343,1890
