,x,y
0,722,45
1,1287,68
2,1331,72
3,1383,72
4,1430,78
5,1236,87
6,1476,90
7,658,93
8,613,98
9,1196,98
10,1521,110
11,1365,114
12,1127,120
13,1567,131
14,505,132
15,1258,141
16,448,146
17,1211,147
18,1074,162
19,339,175
20,285,177
21,389,182
22,233,184
23,187,198
24,37,206
25,714,208
26,985,208
27,82,210
28,1729,253
29,1638,254
30,1677,283
31,866,296
32,815,339
33,1813,341
34,1854,390
35,773,397
36,1882,439
37,729,448
38,599,473
39,1916,477
40,685,494
41,655,549
42,706,562
43,1975,581
44,618,595
45,2022,674
46,554,699
47,2049,722
48,520,734
49,497,789
50,459,824
51,2115,855
52,427,865
53,2139,901
54,403,916
55,374,956
56,332,1036
57,295,1075
58,189,1244
59,2345,1286
60,155,1290
61,2418,1296
62,127,1341
63,100,1375
64,2210,1381
65,68,1419
66,2356,1454
67,55,1463
68,2510,1528
69,1710,1636
