,x,y,w,h,score,match
11,36,224,53,39,0.79103994,01_10_2023 LG 282 copy 4.jpg
1,66,1432,44,37,0.73034984,01_02_2023 LG 282 copy 2.jpg
0,100,1386,44,37,0.7552172,01_02_2023 LG 282 copy 2.jpg
8,156,1295,47,63,0.7960348,01_02_2023 LG 282 copy 5.jpg
5,195,1260,41,45,0.7401315,01_02_2023 LG 282 copy 7.jpg
24,342,185,43,51,0.85040796,01_02_2023 LG 282 copy 9.jpg
39,380,966,43,51,0.7642329,01_02_2023 LG 282 copy 9.jpg
38,408,926,43,51,0.74735534,01_02_2023 LG 282 copy 9.jpg
42,429,878,48,42,0.81121993,12_13_2022 LG 282 copy.jpg
22,454,159,43,51,0.7226762,01_02_2023 LG 282 copy 9.jpg
37,464,835,43,51,0.81445587,01_02_2023 LG 282 copy 9.jpg
3,499,801,49,47,0.73057795,01_02_2023 LG 282 copy 3.jpg
10,503,149,53,39,0.7700299,01_10_2023 LG 282 copy 4.jpg
36,525,746,43,51,0.8178882,01_02_2023 LG 282 copy 9.jpg
35,558,708,43,51,0.7303316,01_02_2023 LG 282 copy 9.jpg
18,616,107,43,51,0.8168701,01_02_2023 LG 282 copy 9.jpg
34,623,608,43,51,0.83841693,01_02_2023 LG 282 copy 9.jpg
33,660,561,43,51,0.8748658,01_02_2023 LG 282 copy 9.jpg
32,691,505,43,51,0.8621894,01_02_2023 LG 282 copy 9.jpg
41,704,576,48,42,0.7203641,12_13_2022 LG 282 copy.jpg
13,725,56,43,51,0.8831731,01_02_2023 LG 282 copy 9.jpg
31,728,460,43,51,0.8464006,01_02_2023 LG 282 copy 9.jpg
30,773,410,43,51,0.8470402,01_02_2023 LG 282 copy 9.jpg
44,774,481,49,46,0.7228077,01_10_2023 LG 282 copy 3.jpg
12,811,358,53,39,0.8350631,01_10_2023 LG 282 copy 4.jpg
27,866,307,43,51,0.7738258,01_02_2023 LG 282 copy 9.jpg
25,983,219,43,51,0.8278541,01_02_2023 LG 282 copy 9.jpg
23,1072,172,43,51,0.7930664,01_02_2023 LG 282 copy 9.jpg
20,1130,127,43,51,0.7614091,01_02_2023 LG 282 copy 9.jpg
16,1234,98,43,51,0.8245893,01_02_2023 LG 282 copy 9.jpg
9,1281,89,53,39,0.7882047,01_10_2023 LG 282 copy 4.jpg
14,1332,82,43,51,0.8696266,01_02_2023 LG 282 copy 9.jpg
19,1364,121,43,51,0.73473954,01_02_2023 LG 282 copy 9.jpg
2,1386,83,49,47,0.7882934,01_02_2023 LG 282 copy 3.jpg
15,1430,88,43,51,0.8342642,01_02_2023 LG 282 copy 9.jpg
17,1479,99,43,51,0.8514108,01_02_2023 LG 282 copy 9.jpg
43,1517,126,50,47,0.81387895,01_10_2023 LG 282 copy 10.jpg
21,1573,140,43,51,0.8476991,01_02_2023 LG 282 copy 9.jpg
26,1736,263,43,51,0.813384,01_02_2023 LG 282 copy 9.jpg
28,1818,351,43,51,0.840378,01_02_2023 LG 282 copy 9.jpg
29,1856,400,43,51,0.81570685,01_02_2023 LG 282 copy 9.jpg
40,1917,488,48,42,0.77585465,12_13_2022 LG 282 copy.jpg
7,2118,860,47,63,0.76851976,01_02_2023 LG 282 copy 5.jpg
4,2147,915,41,45,0.74761987,01_02_2023 LG 282 copy 7.jpg
6,2351,1301,41,45,0.78885436,01_02_2023 LG 282 copy 7.jpg
