,x,y,w,h,score,match
51,153,1670,49,43,0.7772572,small_round.jpg
50,172,1630,49,43,0.76509196,small_round.jpg
49,212,1545,49,43,0.78841263,small_round.jpg
47,233,1503,49,43,0.7995639,small_round.jpg
45,252,1457,49,43,0.78904545,small_round.jpg
12,275,1413,36,35,0.7575809,round_light.jpg
10,293,1361,46,53,0.7597814,right_small_weird.jpg
44,315,1320,49,43,0.79211426,small_round.jpg
32,343,1246,48,40,0.86790675,03_18_2023 LG 282 copy.jpg
31,375,1169,48,40,0.7926082,03_18_2023 LG 282 copy.jpg
9,404,1127,44,44,0.84191674,12_20_2022 LG 282 copy 2.jpg
30,416,1086,48,40,0.83926153,03_18_2023 LG 282 copy.jpg
29,438,1042,48,40,0.77302605,03_18_2023 LG 282 copy.jpg
28,455,1001,48,40,0.8110112,03_18_2023 LG 282 copy.jpg
8,484,962,44,44,0.8895244,12_20_2022 LG 282 copy 2.jpg
42,507,916,49,43,0.7704513,small_round.jpg
41,527,873,49,43,0.8767933,small_round.jpg
7,572,796,44,44,0.8691123,12_20_2022 LG 282 copy 2.jpg
39,592,748,49,43,0.824057,small_round.jpg
6,620,702,44,44,0.80827725,12_20_2022 LG 282 copy 2.jpg
5,645,664,44,44,0.8049869,12_20_2022 LG 282 copy 2.jpg
4,671,617,44,44,0.8410395,12_20_2022 LG 282 copy 2.jpg
25,722,527,48,40,0.8557995,03_18_2023 LG 282 copy.jpg
34,755,485,49,43,0.8977547,small_round.jpg
22,821,401,48,40,0.8459141,03_18_2023 LG 282 copy.jpg
11,865,368,36,35,0.81818986,round_light.jpg
20,931,304,48,40,0.79856336,03_18_2023 LG 282 copy.jpg
18,1023,239,38,60,0.7967383,middle round.jpg
17,1069,220,38,60,0.7934231,middle round.jpg
13,1182,195,38,60,0.9456114,middle round.jpg
14,1285,195,38,60,0.83562624,middle round.jpg
15,1331,200,38,60,0.82504684,middle round.jpg
16,1376,214,38,60,0.859752,middle round.jpg
0,1432,237,68,44,0.8659836,left_back_bent.jpg
19,1511,300,48,40,0.9056315,03_18_2023 LG 282 copy.jpg
21,1605,374,48,40,0.8587795,03_18_2023 LG 282 copy.jpg
23,1637,411,48,40,0.8194535,03_18_2023 LG 282 copy.jpg
24,1708,488,48,40,0.82262254,03_18_2023 LG 282 copy.jpg
35,1739,523,49,43,0.8380634,small_round.jpg
36,1763,566,49,43,0.8467354,small_round.jpg
37,1793,617,49,43,0.7921847,small_round.jpg
38,1819,662,49,43,0.78885293,small_round.jpg
26,1842,716,48,40,0.85423064,03_18_2023 LG 282 copy.jpg
27,1866,757,48,40,0.8124968,03_18_2023 LG 282 copy.jpg
40,1918,834,49,43,0.75881946,small_round.jpg
43,2089,1245,49,43,0.7565832,small_round.jpg
46,2200,1494,49,43,0.77559173,small_round.jpg
48,2214,1534,49,43,0.75404644,small_round.jpg
1,2238,1323,68,44,0.76424885,left_back_bent.jpg
33,2249,1626,48,40,0.8449318,03_18_2023 LG 282 copy.jpg
2,2406,1785,68,44,0.7706225,left_back_bent.jpg
3,2412,1831,68,44,0.7881809,left_back_bent.jpg
