,x,y,w,h,score,match
90,114,1848,49,43,0.83484304,small_round.jpg
88,146,1755,49,43,0.83843434,small_round.jpg
86,164,1709,49,43,0.8700586,small_round.jpg
15,181,1663,53,48,0.9047706,top_left.jpg
85,197,1618,49,43,0.8866286,small_round.jpg
84,214,1576,49,43,0.9129452,small_round.jpg
83,231,1529,49,43,0.9181031,small_round.jpg
82,261,1440,49,43,0.8838877,small_round.jpg
80,280,1396,49,43,0.89363617,small_round.jpg
9,299,1357,68,44,0.894752,left_back_bent.jpg
14,312,1303,53,48,0.9202166,top_left.jpg
24,333,1171,36,35,0.8043102,round_light.jpg
13,342,1222,53,48,0.91794854,top_left.jpg
79,375,1137,49,43,0.89158255,small_round.jpg
33,378,1282,38,60,0.79936194,middle round.jpg
78,409,1045,49,43,0.9020823,small_round.jpg
77,442,961,49,43,0.8699292,small_round.jpg
76,479,874,49,43,0.9007348,small_round.jpg
75,498,831,49,43,0.8669667,small_round.jpg
74,514,782,49,43,0.81881005,small_round.jpg
73,535,739,49,43,0.90891415,small_round.jpg
12,560,687,53,48,0.82364583,top_left.jpg
72,579,641,49,43,0.8315716,small_round.jpg
4,585,778,68,44,0.7688488,left_back_bent.jpg
71,600,594,49,43,0.8830353,small_round.jpg
70,626,543,49,43,0.8989464,small_round.jpg
6,634,920,68,44,0.806817,left_back_bent.jpg
69,649,499,49,43,0.9037308,small_round.jpg
68,674,458,49,43,0.9209748,small_round.jpg
5,701,848,68,44,0.7703556,left_back_bent.jpg
67,702,414,49,43,0.9100134,small_round.jpg
2,724,669,68,44,0.77900577,left_back_bent.jpg
39,730,371,48,40,0.8619914,03_18_2023 LG 282 copy.jpg
3,735,766,68,44,0.7846616,left_back_bent.jpg
65,766,331,49,43,0.8489244,small_round.jpg
32,793,587,38,60,0.8068172,middle round.jpg
1,840,530,68,44,0.7708411,left_back_bent.jpg
19,844,261,36,35,0.79120255,round_light.jpg
0,858,488,68,44,0.8231365,left_back_bent.jpg
91,881,214,38,64,0.78899866,12_20_2022 LG 282 copy.jpg
37,916,188,48,40,0.8349189,03_18_2023 LG 282 copy.jpg
29,977,160,38,60,0.84766114,middle round.jpg
11,987,370,53,48,0.7796304,top_left.jpg
27,1080,132,38,60,0.8915119,middle round.jpg
35,1124,130,48,40,0.8352872,03_18_2023 LG 282 copy.jpg
17,1157,194,36,35,0.75850385,round_light.jpg
26,1192,128,38,60,0.8605847,middle round.jpg
28,1289,143,38,60,0.8102767,middle round.jpg
36,1335,165,48,40,0.8329352,03_18_2023 LG 282 copy.jpg
16,1391,193,36,35,0.89453006,round_light.jpg
18,1435,223,36,35,0.8672548,round_light.jpg
20,1484,267,36,35,0.80616987,round_light.jpg
38,1515,299,48,40,0.8475362,03_18_2023 LG 282 copy.jpg
31,1523,547,38,60,0.78797776,middle round.jpg
23,1523,440,36,35,0.8991601,round_light.jpg
21,1561,338,36,35,0.77474076,round_light.jpg
30,1571,531,38,60,0.81169385,middle round.jpg
66,1600,370,49,43,0.82675713,small_round.jpg
40,1622,414,48,40,0.8643952,03_18_2023 LG 282 copy.jpg
41,1656,455,48,40,0.8622985,03_18_2023 LG 282 copy.jpg
22,1680,372,36,35,0.7978471,round_light.jpg
42,1684,498,48,40,0.9300224,03_18_2023 LG 282 copy.jpg
43,1716,546,48,40,0.8569705,03_18_2023 LG 282 copy.jpg
25,1742,1886,36,35,0.7628792,round_light.jpg
44,1742,595,48,40,0.8423152,03_18_2023 LG 282 copy.jpg
45,1769,639,48,40,0.8813164,03_18_2023 LG 282 copy.jpg
46,1796,684,48,40,0.8897531,03_18_2023 LG 282 copy.jpg
47,1840,765,48,40,0.877291,03_18_2023 LG 282 copy.jpg
48,1859,808,48,40,0.90635145,03_18_2023 LG 282 copy.jpg
49,1903,896,48,40,0.8847328,03_18_2023 LG 282 copy.jpg
50,1939,958,48,40,0.88677573,03_18_2023 LG 282 copy.jpg
51,1981,1045,48,40,0.91744864,03_18_2023 LG 282 copy.jpg
52,2022,1131,48,40,0.8955532,03_18_2023 LG 282 copy.jpg
53,2042,1175,48,40,0.88238615,03_18_2023 LG 282 copy.jpg
54,2064,1218,48,40,0.84790224,03_18_2023 LG 282 copy.jpg
7,2081,1127,68,44,0.7776429,left_back_bent.jpg
55,2084,1258,48,40,0.8406032,03_18_2023 LG 282 copy.jpg
56,2102,1297,48,40,0.8137419,03_18_2023 LG 282 copy.jpg
8,2120,1219,68,44,0.7934829,left_back_bent.jpg
57,2126,1339,48,40,0.8792994,03_18_2023 LG 282 copy.jpg
81,2167,1424,49,43,0.85950416,small_round.jpg
58,2184,1466,48,40,0.8299276,03_18_2023 LG 282 copy.jpg
59,2200,1511,48,40,0.8640314,03_18_2023 LG 282 copy.jpg
60,2221,1554,48,40,0.8382842,03_18_2023 LG 282 copy.jpg
61,2241,1596,48,40,0.80530685,03_18_2023 LG 282 copy.jpg
62,2260,1638,48,40,0.7917118,03_18_2023 LG 282 copy.jpg
63,2281,1679,48,40,0.85751736,03_18_2023 LG 282 copy.jpg
87,2302,1725,49,43,0.86944,small_round.jpg
34,2328,1766,38,60,0.8766183,middle round.jpg
64,2362,1863,48,40,0.91661716,03_18_2023 LG 282 copy.jpg
89,2417,1761,49,43,0.79904455,small_round.jpg
10,2436,1879,68,44,0.88651264,left_back_bent.jpg
