,x,y,w,h,score,match
16,270,1878,68,44,0.91027784,left_back_bent.jpg
15,284,1836,68,44,0.91759735,left_back_bent.jpg
41,295,1530,38,60,0.8243171,middle round.jpg
20,300,1456,53,48,0.91223717,top_left.jpg
14,321,1727,68,44,0.83354217,left_back_bent.jpg
19,335,1358,53,48,0.8565153,top_left.jpg
13,344,1639,68,44,0.83928996,left_back_bent.jpg
12,357,1598,68,44,0.84015036,left_back_bent.jpg
42,364,1281,49,43,0.7625953,small_round.jpg
11,367,1548,68,44,0.8374149,left_back_bent.jpg
10,383,1505,68,44,0.840618,left_back_bent.jpg
9,413,1419,68,44,0.87006944,left_back_bent.jpg
8,438,1337,68,44,0.880973,left_back_bent.jpg
7,455,1292,68,44,0.8891287,left_back_bent.jpg
51,477,1247,64,44,0.8246656,left_angled.jpg
50,493,1204,64,44,0.7955195,left_angled.jpg
6,503,1159,68,44,0.84984094,left_back_bent.jpg
5,516,1114,68,44,0.82168704,left_back_bent.jpg
3,555,1026,68,44,0.8464261,left_back_bent.jpg
2,569,976,68,44,0.81318915,left_back_bent.jpg
4,573,1089,68,44,0.81180245,left_back_bent.jpg
39,602,889,38,60,0.8303548,middle round.jpg
1,625,845,68,44,0.85961735,left_back_bent.jpg
47,667,744,64,44,0.88070446,left_angled.jpg
46,688,697,64,44,0.88587266,left_angled.jpg
45,711,651,64,44,0.8259046,left_angled.jpg
44,739,605,64,44,0.9022581,left_angled.jpg
43,763,562,64,44,0.7923532,left_angled.jpg
18,791,511,53,48,0.81061924,top_left.jpg
36,833,617,38,60,0.77768916,middle round.jpg
17,850,441,53,48,0.7601007,top_left.jpg
0,888,412,68,44,0.8216771,left_back_bent.jpg
30,994,335,38,60,0.8428017,middle round.jpg
27,1080,288,38,60,0.83374196,middle round.jpg
31,1170,337,38,60,0.7755445,middle round.jpg
23,1175,271,38,60,0.82088166,middle round.jpg
24,1222,273,38,60,0.8575332,middle round.jpg
25,1274,273,38,60,0.8591496,middle round.jpg
26,1328,282,38,60,0.88844013,middle round.jpg
28,1379,299,38,60,0.8606771,middle round.jpg
29,1428,317,38,60,0.8822252,middle round.jpg
32,1476,348,38,60,0.8430893,middle round.jpg
33,1522,391,38,60,0.8088856,middle round.jpg
34,1560,421,38,60,0.81556123,middle round.jpg
52,1597,455,38,64,0.8084445,12_20_2022 LG 282 copy.jpg
53,1632,492,38,64,0.8018774,12_20_2022 LG 282 copy.jpg
35,1669,535,38,60,0.8313273,middle round.jpg
54,1723,612,38,64,0.816921,12_20_2022 LG 282 copy.jpg
21,1724,574,36,35,0.7521625,round_light.jpg
22,1726,734,36,35,0.7697973,round_light.jpg
37,1767,654,38,60,0.8579758,middle round.jpg
55,1805,754,38,64,0.86563313,12_20_2022 LG 282 copy.jpg
38,1838,802,38,60,0.8704789,middle round.jpg
56,1876,880,38,64,0.87436664,12_20_2022 LG 282 copy.jpg
57,1919,962,38,64,0.8283206,12_20_2022 LG 282 copy.jpg
48,1924,916,64,44,0.77818596,left_angled.jpg
49,1963,1001,64,44,0.76419556,left_angled.jpg
58,2020,1160,38,64,0.76019794,12_20_2022 LG 282 copy.jpg
59,2055,1242,38,64,0.78358054,12_20_2022 LG 282 copy.jpg
40,2122,1371,38,60,0.82917887,middle round.jpg
