,x,y,gradient,smoothness,gradientEven,smoothnessEven
0,148.0,1697.0,-3.8461538461538463,0.045216432313206524,-50.0,0.5878136200716848
1,161.0,1647.0,-3.2583402260821615,0.044569279784333574,-47.0,0.6869658119658124
2,179.0,1603.0,-2.4722222222222214,0.02664536342291729,-44.5,0.4796165416125113
3,197.0,1558.0,-2.299107142857139,0.011043595679012003,-37.5,0.17162698412698063
4,211.0,1528.0,-2.12896825396826,-0.002047164351851649,-34.0,-0.09766865079364351
5,229.0,1490.0,-2.494444444444426,-0.004165190980607442,-35.5,-0.14317307382723143
6,241.0,1457.0,-2.415314401622723,0.01053462732235308,-33.0,0.17655902440935378
7,258.0,1424.0,-2.1413263956257182,-0.028385807096451984,-52.5,-1.3753887762001469
10,304.0,1323.0,-1.98076923076923,0.06371042138893329,-51.5,1.6564709561122655
11,330.0,1288.0,-1.9298936835522227,-0.016937948785978943,-34.5,-0.1833527583527612
12,345.0,1254.0,-2.3474747474747524,-0.02972713680817543,-39.0,-0.4967294747389168
13,363.0,1210.0,-2.9233526330300563,0.0018420349065508823,-43.25,-0.11712801087801239
14,376.0,1167.5,-2.581730769230777,0.03016647272314221,-37.0,0.6189398300285411
15,400.0,1136.0,-1.685472972972974,-0.00012368998941848786,-34.0,0.17983179667963078
16,418.5,1099.5,-2.2220671758715156,-0.022559415757171894,-37.75,-0.4041753158688657
17,434.5,1060.5,-2.4938236047107054,0.004653759245895783,-39.25,0.06264649116156384
18,450.0,1021.0,-2.096774193548388,-0.002153152855545952,-38.25,-0.6956957245263631
19,481.0,984.0,-3.8852150537634316,-0.013326147602007898,-39.5,-0.8962267243640198
20,490.0,942.0,-3.8892276422764276,0.015468767654652318,-39.0,1.150858515024007
21,522.0,906.0,-1.5834980237154177,0.023813699368177045,-40.0,1.0279856990290561
22,545.0,862.0,-1.8332562442183153,-0.0012709245264431387,-43.0,-0.020070160255580838
23,569.0,820.0,-1.6236383442265794,0.00015067526993662456,-41.0,-0.023517380536345556
24,596.0,780.0,-1.8802910052910065,-0.007597125550556853,-43.0,-0.1925098322157135
25,617.0,734.0,-2.0086580086580064,0.003859879712592912,-43.0,0.09319745069745089
26,639.0,694.0,-1.6938961038961047,0.010778447742733399,-41.5,0.245400432900432
27,667.0,651.0,-1.5178571428571423,-0.0001607579790809631,-42.5,-0.004501223414266953
28,695.0,609.0,-1.7028985507246386,-0.029919830250940888,-42.5,-0.6568064182194604
29,718.0,566.0,-2.831469979296063,-0.017662029469809826,-41.5,-0.571942537503177
30,730.0,526.0,-2.8467836257309926,0.0020332635130498287,-43.0,0.3173222912353335
31,775.0,480.0,-2.196825396825396,0.011204051271130666,-47.0,0.41415350215659696
32,793.0,432.0,-2.0184766214177987,0.01576079583325956,-37.5,0.5450391750903258
33,827.0,405.0,-1.1067470466447444,0.011685853828710981,-38.5,0.3878097392803279
34,862.0,355.0,-1.2428571428571429,0.0017290394418636949,-43.5,0.060516380465229336
35,897.0,318.0,-0.9857142857142858,0.002845077468622635,-34.5,0.09957771140179217
36,932.0,286.0,-1.0437017200535585,0.0005499568248352061,-38.5,0.02697736989532684
37,970.0,241.0,-0.9317595459236321,0.00567900624245838,-34.5,0.1940869885207297
38,1004.0,217.0,-0.6555277430120992,0.005836342002273086,-29.0,0.19207024915229232
39,1064.0,183.0,-0.5476190476190474,0.0014345156929443268,-29.0,0.08008908252691294
40,1109.0,159.0,-0.4953495779582733,0.0018936655223023317,-22.5,0.08690203770295302
41,1155.0,138.0,-0.3738149722131414,0.003320967275891498,-17.5,0.15984909266287428
42,1204.0,124.0,-0.17565139263252472,0.002021865695459999,-8.5,0.09469582487802775
43,1257.0,121.0,-0.18442332245708593,0.0025935783888391944,-7.5,0.09599454525118511
44,1299.0,109.0,0.016337697869845513,0.004430064248476264,1.0,0.18792360432420696
