,x,y
0,2377,34
1,2416,58
2,1131,107
3,1178,126
4,1288,126
5,1342,129
6,1240,155
7,1092,162
8,1395,181
9,1039,184
10,1455,189
11,1497,208
12,991,210
13,960,253
14,911,287
15,872,314
16,1635,314
17,1705,385
18,810,387
19,1662,391
20,1739,426
21,777,431
22,1767,469
23,751,471
24,1797,512
25,716,514
26,1821,557
27,691,562
28,1847,608
29,669,613
30,1874,656
31,642,660
32,692,699
33,1900,701
34,624,702
35,1923,745
36,601,747
37,573,784
38,1944,789
39,1982,864
40,527,871
41,381,895
42,2004,910
43,505,914
44,2024,954
45,2045,992
46,472,994
47,584,1005
48,380,1057
49,2070,1064
50,439,1082
51,2098,1108
52,2112,1149
53,412,1171
54,2128,1191
55,376,1198
56,2143,1232
57,384,1254
58,2164,1272
59,366,1295
60,2182,1313
61,2200,1355
62,302,1359
63,288,1408
64,2233,1438
65,269,1449
66,2255,1478
67,251,1492
68,2269,1524
69,236,1533
70,2286,1565
71,217,1574
72,2304,1608
73,2322,1649
74,182,1656
75,162,1705
76,2347,1722
77,152,1748
78,133,1790
79,2375,1797
80,122,1834
81,2404,1868
82,106,1877
