,x,y
0,1118,217
1,1070,226
2,1223,228
3,1174,234
4,1271,238
5,1380,249
6,1017,256
7,971,273
8,1468,303
9,927,307
10,886,342
11,1563,374
12,857,382
13,821,413
14,793,453
15,1669,484
16,1701,526
17,734,539
18,1727,570
19,710,585
20,1759,612
21,683,626
22,1786,660
23,660,680
24,1812,713
25,631,730
26,616,773
27,1866,796
28,518,820
29,1892,840
30,585,869
31,1913,879
32,564,907
33,545,952
34,1952,954
35,1975,999
36,523,1000
37,1994,1038
38,506,1043
39,2013,1077
40,508,1098
41,2050,1148
42,460,1160
43,2083,1231
44,431,1252
45,413,1296
46,2123,1311
47,2146,1360
48,406,1390
49,2163,1401
50,394,1432
51,2179,1443
52,378,1475
53,2195,1485
54,472,1519
55,2213,1526
56,332,1551
57,2234,1565
58,2247,1612
59,303,1639
60,2267,1652
61,288,1680
62,2286,1692
63,2303,1738
64,279,1779
65,127,1781
66,2340,1793
67,2380,1809
68,321,1812
69,567,1835
70,513,1842
71,608,1842
72,648,1852
73,233,1853
74,2518,1866
75,2108,1872
76,2155,1878
