,x,y
0,1264,258
1,1206,260
2,1310,265
3,1154,267
4,1359,273
5,1060,303
6,1105,305
7,1466,316
8,967,369
9,1549,376
10,892,430
11,856,465
12,1665,499
13,1696,535
14,793,544
15,1725,575
16,761,584
17,1751,619
18,730,628
19,1776,665
20,703,673
21,1798,710
22,1820,766
23,654,768
24,1844,809
25,628,811
26,1861,859
27,581,894
28,557,940
29,1906,945
30,1919,991
31,530,1038
32,488,1065
33,1955,1069
34,1972,1114
35,492,1122
36,453,1136
37,1986,1155
38,2003,1195
39,2017,1236
40,433,1241
41,2031,1278
42,375,1297
43,2048,1318
44,2056,1361
45,339,1382
46,2086,1437
47,340,1442
48,300,1464
49,2100,1487
50,279,1508
51,2119,1526
52,2130,1568
53,241,1585
54,2141,1611
55,229,1629
56,2160,1654
57,210,1672
58,187,1714
59,2186,1733
60,170,1754
61,154,1800
62,2215,1822
63,2228,1866
64,121,1880
