,x,y
0,1259,147
1,1314,148
2,1205,149
3,1370,152
4,1425,157
5,1478,183
6,1098,187
7,1521,202
8,1029,258
9,1599,276
10,939,317
11,916,360
12,1731,377
13,870,391
14,1761,418
15,1855,425
16,839,433
17,1792,457
18,812,475
19,779,517
20,1844,542
21,1873,594
22,700,658
23,1913,686
24,672,710
25,628,784
26,1975,822
27,1992,868
28,555,909
29,2004,912
30,533,955
31,2043,993
32,519,996
33,492,1030
34,477,1071
35,2070,1073
36,454,1111
37,2087,1113
38,434,1153
39,2105,1156
40,415,1195
41,2111,1200
42,2129,1241
43,380,1270
44,2147,1284
45,357,1313
46,339,1356
47,319,1401
48,2191,1403
49,2209,1450
50,283,1481
51,2224,1492
52,2236,1537
53,246,1563
54,221,1607
55,2271,1607
56,203,1649
57,183,1695
58,2303,1702
59,161,1744
60,2318,1746
61,143,1784
62,2335,1788
63,201,1801
64,66,1813
65,2346,1836
66,116,1869
