,x,y
0,1349,193
1,1409,210
2,1213,227
3,1265,233
4,1155,236
5,1306,236
6,1115,243
7,1063,248
8,1507,260
9,1013,261
10,1415,280
11,1467,288
12,960,298
13,1506,317
14,911,329
15,880,363
16,1556,363
17,785,385
18,841,392
19,1081,412
20,1632,429
21,779,467
22,1662,478
23,1700,506
24,748,511
25,719,551
26,1725,553
27,1783,639
28,666,641
29,1810,689
30,1862,779
31,593,784
32,569,826
33,547,869
34,1932,904
35,1949,947
36,501,957
37,1966,989
38,478,997
39,1985,1030
40,2014,1101
41,424,1114
42,345,1146
43,404,1159
44,2050,1193
45,351,1280
46,2075,1286
47,2098,1324
48,333,1326
49,2112,1369
50,300,1405
51,2131,1411
52,284,1451
53,2145,1452
54,2164,1491
55,2175,1533
56,2194,1573
57,228,1575
58,151,1612
59,215,1617
60,2225,1659
61,145,1787
62,127,1837
