,x,y
0,1257,216
1,1367,216
2,1305,218
3,1207,226
4,1423,228
5,1475,249
6,1156,255
7,1528,272
8,1571,298
9,1068,308
10,1007,316
11,1614,328
12,1040,358
13,1664,372
14,986,379
15,952,414
16,1685,428
17,1733,440
18,920,447
19,1773,477
20,885,485
21,1801,521
22,860,529
23,1831,563
24,827,571
25,1484,588
26,1859,605
27,795,616
28,1935,625
29,1886,651
30,777,662
31,1908,700
32,749,710
33,1937,751
34,1960,795
35,707,803
36,1985,841
37,684,849
38,505,873
39,2026,922
40,2127,923
41,640,932
42,2044,965
43,619,981
44,2062,1007
45,2081,1046
46,581,1064
47,2098,1087
48,563,1105
49,2119,1125
50,543,1145
51,2136,1165
52,527,1190
53,2151,1207
54,511,1233
55,2170,1248
56,492,1272
57,2182,1290
58,477,1313
59,2203,1331
60,460,1355
61,2224,1370
62,445,1397
63,2239,1414
64,427,1437
65,409,1482
66,2269,1491
67,392,1523
68,2290,1535
69,378,1564
70,2308,1577
71,364,1605
72,2325,1620
73,346,1648
74,2345,1662
75,2356,1706
76,2208,1723
77,314,1726
78,295,1776
79,2392,1786
80,345,1807
81,280,1818
82,2411,1834
83,263,1863
84,2425,1878
85,1852,1885
86,841,1887
