,x,y
0,1114,304
1,1274,304
2,1172,308
3,1069,311
4,1220,312
5,1326,324
6,1009,325
7,1381,341
8,960,349
9,1117,358
10,1063,362
11,1420,371
12,918,379
13,876,420
14,1512,444
15,1554,473
16,805,485
17,1593,510
18,776,518
19,829,555
20,744,556
21,686,647
22,1720,669
23,653,690
24,2515,712
25,1742,717
26,631,733
27,715,739
28,1771,768
29,608,785
30,1796,812
31,583,829
32,562,877
33,1847,904
34,544,920
35,522,962
36,503,1006
37,479,1050
38,1926,1074
39,457,1096
40,568,1110
41,1945,1113
42,440,1139
43,421,1179
44,1972,1190
45,406,1220
46,1989,1231
47,389,1261
48,2009,1271
49,2025,1312
50,358,1342
51,2039,1354
52,2061,1395
53,336,1434
54,2052,1461
55,2092,1472
56,327,1479
57,308,1520
58,2113,1520
59,2130,1560
60,292,1562
61,2146,1601
62,275,1603
63,252,1644
64,2183,1685
65,211,1719
66,2031,1797
67,183,1806
68,2230,1812
69,159,1847
70,333,1889
