,x,y
0,1352,206
1,993,265
2,1290,309
3,1343,315
4,1186,318
5,1083,326
6,1141,329
7,1401,339
8,1028,349
9,984,374
10,771,375
11,1491,381
12,944,406
13,905,444
14,1575,457
15,870,470
16,1617,494
17,836,508
18,1646,531
19,805,541
20,1512,546
21,1683,567
22,743,624
23,1748,653
24,713,668
25,1762,701
26,684,714
27,1787,746
28,654,763
29,1807,795
30,634,809
31,1835,843
32,609,859
33,1858,892
34,588,900
35,1879,937
36,563,939
37,1900,981
38,543,983
39,1916,1026
40,521,1027
41,492,1064
42,1934,1069
43,475,1109
44,1962,1143
45,461,1151
46,421,1235
47,383,1304
48,2020,1323
49,349,1391
50,2073,1437
51,378,1484
52,291,1516
53,2102,1519
54,259,1597
55,2134,1607
56,221,1676
57,203,1721
58,2176,1729
59,183,1763
60,2086,1767
61,165,1803
62,2205,1825
63,147,1844
