,x,y
0,1349,0
1,1220,30
2,1345,89
3,1233,103
4,1407,108
5,1074,116
6,1449,135
7,1031,137
8,973,163
9,1306,163
10,1494,164
11,1823,165
12,1379,176
13,1097,181
14,1154,183
15,1199,193
16,1533,198
17,1446,202
18,941,204
19,1580,239
20,903,243
21,734,253
22,1621,272
23,841,308
24,1658,312
25,804,346
26,1720,387
27,774,390
28,746,430
29,1747,438
30,1767,490
31,690,519
32,1803,519
33,661,571
34,1822,578
35,565,598
36,640,618
37,1848,624
38,618,663
39,1877,669
40,600,707
41,1904,716
42,577,748
43,1925,757
44,1981,757
45,556,792
46,1942,801
47,1885,831
48,532,837
49,1963,839
50,513,879
51,1974,881
52,493,921
53,1993,925
54,2113,992
55,2025,996
56,454,998
57,385,1021
58,440,1042
59,2060,1084
60,420,1087
61,400,1126
62,2080,1128
63,2138,1141
64,384,1167
65,2094,1169
66,2115,1207
67,369,1208
68,352,1248
69,2128,1250
70,2190,1260
71,340,1291
72,2150,1292
73,2164,1333
74,299,1374
75,2181,1375
76,287,1416
77,2114,1426
78,2212,1455
79,268,1458
80,2229,1500
81,250,1501
82,2165,1537
83,235,1542
84,2246,1544
85,214,1585
86,2260,1586
87,2282,1625
88,122,1627
89,2298,1668
90,175,1672
91,2303,1716
92,163,1719
93,146,1760
94,131,1805
95,2347,1807
96,116,1849
97,2456,1858
98,2283,1890
