,x,y
0,1219,60
1,1168,65
2,1486,65
3,1274,69
4,1122,70
5,1331,73
6,758,78
7,1071,83
8,1386,93
9,1015,106
10,1434,114
11,1294,119
12,1349,126
13,1481,141
14,1441,160
15,923,173
16,1524,173
17,1931,205
18,1567,212
19,1606,248
20,826,271
21,1639,289
22,794,313
23,1672,326
24,758,352
25,1702,366
26,610,421
27,700,435
28,669,484
29,1423,496
30,1782,506
31,1321,517
32,1361,524
33,649,530
34,688,556
35,626,575
36,1825,598
37,600,621
38,1852,651
39,1689,660
40,578,668
41,1872,692
42,555,707
43,1964,728
44,1893,736
45,529,750
46,1910,778
47,508,792
48,1929,821
49,490,837
50,1947,868
51,465,879
52,2028,880
53,1980,940
54,431,955
55,2097,977
56,1997,980
57,2009,1026
58,391,1040
59,2032,1066
60,372,1085
61,1973,1090
62,2156,1108
63,2042,1109
64,355,1126
65,2059,1149
66,2076,1190
67,320,1204
68,2094,1232
69,306,1251
70,2109,1276
71,284,1292
72,2122,1318
73,263,1334
74,2143,1356
75,2296,1366
76,249,1376
77,2189,1480
78,2275,1484
79,191,1502
80,174,1542
81,261,1570
82,155,1588
83,2233,1602
84,138,1634
85,229,1641
86,118,1677
87,2177,1685
88,190,1711
89,103,1720
90,2278,1743
91,2441,1751
92,185,1757
93,73,1811
94,2310,1840
95,2380,1861
96,58,1863
97,2168,1873
98,2265,1884
99,2325,1887
