,x,y
0,726,96
1,1293,127
2,1192,129
3,1125,132
4,1404,145
5,1084,147
6,1038,168
7,1450,171
8,1497,194
9,983,202
10,1540,226
11,943,231
12,1583,266
13,905,270
14,1622,300
15,873,301
16,1658,337
17,1693,374
18,809,376
19,779,414
20,1720,417
21,749,457
22,1750,460
23,718,501
24,1780,503
25,757,542
26,669,596
27,1827,599
28,643,645
29,1849,646
30,603,730
31,1900,736
32,577,776
33,1922,782
34,1923,836
35,538,861
36,1955,864
37,511,906
38,1970,914
39,492,951
40,1985,956
41,2011,991
42,478,992
43,2042,1061
44,441,1068
45,2069,1109
46,420,1115
47,2080,1151
48,407,1158
49,2098,1194
50,387,1198
51,2112,1235
52,374,1240
53,354,1280
54,2125,1280
55,2142,1321
56,318,1360
57,2163,1360
58,299,1402
59,2175,1403
60,287,1444
61,2205,1467
62,269,1486
63,249,1530
64,2099,1558
65,235,1573
66,2240,1574
67,219,1615
68,2255,1617
69,199,1654
70,2272,1657
71,177,1705
72,166,1747
73,154,1789
74,142,1835
75,126,1878
76,250,1889
