,x,y,gradient,smoothness,gradientEven,smoothnessEven
0,229.0,1866.0,-2.5,0.02139303482587077,-55.0,0.4706467661691569
1,251.0,1811.0,-2.029353233830843,0.0695616743866872,-51.5,4.017313218390797
3,280.0,1712.0,16.634704968944078,-0.5494794269531945,-56.5,-3.15402819423619
5,285.0,1691.0,-28.465277777777715,1.5386845579148156,-21.0,-1.5382150413811377
7,328.0,1565.0,-4.992592592592587,-0.007915684659868805,-45.5,-0.5622494699529437
8,336.0,1517.0,-4.97435897435895,0.0341880341880354,-48.0,0.9629629629629619
9,354.0,1469.0,-3.066666666666663,0.04794871794871711,-44.0,1.0094017094016952
10,366.0,1429.0,-2.9555555555555593,-0.06425925925925967,-41.5,-1.5152777777777828
11,384.0,1386.0,-6.0972222222222285,-0.06911589008362884,-43.5,-1.6727598566308126
12,390.0,1342.0,-6.3010752688171845,0.0009362650491714919,-47.0,1.7280982905982931
13,415.0,1292.0,-2.6410256410256423,0.04012441411634929,-46.0,1.6942876344085915
14,429.0,1250.0,-2.9125000000000014,-0.009248130341880295,-43.5,-0.11698717948717885
15,445.0,1205.0,-2.875,-0.16886837121212106,-46.0,-2.701893939393937
16,461.0,1158.0,-8.316287878787875,-0.10176264197403595,-54.5,-2.7578242835595628
17,467.0,1096.0,-8.390648567119126,0.05813750578776446,-51.25,2.764609937164284
18,486.5,1055.5,-2.7870680044593072,0.1191007104661331,-45.25,2.724301021491522
19,501.5,1005.5,-2.9420465241360816,0.005895816471780717,-47.75,0.16217825623976267
20,520.0,960.0,-2.462711491979782,0.01651052549211067,-50.5,0.2968032292273204
21,542.5,904.5,-2.348440065681441,0.012467591946145239,-51.25,0.26045627509041935
22,563.5,857.5,-1.9417989417989432,0.013650030871928287,-39.75,0.2846777752597216
23,583.0,825.0,-1.7790845151619976,0.004197338993864517,-45.0,0.05073159040460773
24,612.5,767.5,-1.8403357609897277,0.00030867601584304294,-52.25,0.003010271049012303
25,639.5,720.5,-1.773063973063973,0.007918834268889341,-43.75,0.1736035910622773
26,662.0,680.0,-1.4931285788651731,0.012022145395478107,-37.75,0.3335695377534642
27,696.0,645.0,-1.1059248975570446,0.007366302318726557,-39.5,0.24890527957845476
28,733.0,601.0,-0.9953180197082636,0.0033513945879203935,-38.0,0.13223074146144942
29,774.0,569.0,-0.8414634146341458,0.003223123132727518,-34.5,0.13214804844182826
30,815.0,532.0,-0.7310219228246071,0.003665948030208096,-32.0,0.18567396602772357
31,868.0,505.0,-0.4701154825786986,0.004791349158534426,-25.5,0.2607231297642181
32,924.0,481.0,-0.20957566329617094,0.0033909409676582433,-11.5,0.1907154679815588
33,982.0,482.0,-0.088684546615581,-4.26035548204114e-05,-4.0,0.013541392901646354
34,1032.0,473.0,-0.18249287749287824,0.00015024492417658368,-9.5,0.016242608070748066
35,1086.0,463.0,-0.056199330474084874,0.0026757703439051683,-4.0,0.12644541706244672
36,1129.0,465.0,0.0703979566320152,0.002965770532940726,4.25,0.15620512642223572
37,1191.0,471.5,0.25621092237038656,0.003330562712945479,11.25,0.17138700535975948
38,1235.0,487.5,0.41317196735153416,0.003060857363414991,20.0,0.14156365646186586
39,1286.0,511.5,0.5393382352941183,0.0026369976118310497,25.5,0.12565457212101983
40,1331.0,538.5,0.6644811115935738,0.0029630086336558557,31.5,0.14002199457018616
41,1380.0,574.5,0.8193822244344906,0.002446681321265005,36.25,0.11535053122519479
42,1421.0,611.0,0.8951821740439634,0.0006970807658882618,36.25,0.02936942440778223
43,1461.0,647.0,0.8781210732500551,0.00273485679502046,35.75,0.11627640480324164
44,1502.5,682.5,1.1277349836504467,0.00468429082416864,38.0,0.18133034606093634
45,1533.0,723.0,1.2407817653719277,0.002844462501939187,41.25,0.08980064500230611
46,1570.0,765.0,1.307336273655059,0.004786746436038443,43.5,0.14627513309158946
47,1601.0,810.0,1.5333320315551067,0.005384047100527225,45.0,0.16427110783585253
48,1629.0,855.0,1.635878489326764,-0.0019491427627342794,47.5,-0.06814899521806517
49,1659.0,905.0,1.3970340411189763,0.028489128852685668,43.75,1.0951042335974854
50,1693.5,942.5,3.826086956521735,0.01365211675703537,46.0,1.1842453019829415
51,1705.0,997.0,3.7655246450848594,-0.029768218964662523,46.25,-1.3578387647261625
56,1826.0,1187.0,1.2459119496855315,0.03231924022879278,35.0,1.0983407218763794
57,1856.0,1234.0,3.389035087719307,-0.004899508856723522,39.0,0.9705374570127319
58,1864.0,1265.0,3.1869868637109953,-0.04018596812308575,30.0,-0.9344832519104695
59,1885.0,1294.0,1.520068583898368,-0.04147560655202062,36.5,-0.7626090924965823
60,1911.0,1338.0,1.6617686787178307,0.011081800307093943,46.0,0.3285579681611299
61,1940.5,1386.0,2.177184520220628,0.005169442736187163,44.5,0.24358809583640983
62,1957.0,1427.0,2.1489448703906504,-0.0072235643182363,41.0,-0.20880965141466135
63,1982.0,1468.0,1.7595652173913052,-0.00935962269698025,42.0,-0.23656482649967359
68,2072.0,1680.0,-9.342657342657354,0.1696081696081686,36.5,4.118205868205877
70,2121.0,1764.0,2.2962962962962976,-0.0032981162220926397,50.0,0.1349117743854613
71,2139.0,1808.0,1.9023391812865569,-0.024796508759744096,35.0,-0.4772770047724677
72,2159.0,1834.0,1.3417422867513622,-0.01764468642871568,40.0,-0.24064327485380477
73,2197.0,1888.0,1.4210526315789473,0.00208711433756803,54.0,0.07931034482758514
