,x,y,gradient,smoothness,gradientEven,smoothnessEven
0,118.5,1845.0,-3.34375,-0.1700581395348859,-53.5,-2.7209302325581746
1,134.5,1791.5,-6.064680232558175,-0.06348334768876795,-46.0,-1.4342978395061663
2,140.0,1753.0,-6.212345679012333,-0.007737486840838512,-40.25,1.9190067829457504
3,175.0,1711.0,-2.2266666666666737,0.009251893544577006,-41.0,1.725935190975839
4,190.0,1671.0,-2.7604752970606548,0.0058454716015700035,-58.0,0.7427039627039775
5,216.0,1595.0,-0.7412587412587186,-0.08264003385953703,-23.0,0.9357932040858632
7,225.0,1561.0,-7.742528735632192,-0.009335747266776329,-54.0,-3.306288156288125
8,230.0,1517.0,-7.501465201465178,0.08610842010748854,-43.5,2.6958711335993257
9,251.0,1474.0,-2.35078646843354,-0.20317415427709318,-38.0,-0.549748168498156
10,264.0,1441.0,-8.60096153846149,-0.2082505366819083,-31.5,-3.343125284301724
11,267.0,1411.0,-9.037037037036988,-0.09355615778380025,-31.0,3.6323131644777744
17,383.0,1133.0,17.005882352941157,-0.21664753923347835,-48.5,-8.665313067150624
18,405.0,1100.0,-2.151315789473678,-0.3701257248555598,-37.5,-9.626697181961312
19,421.0,1058.0,-2.247512010981467,-0.005171229529271706,-44.5,-0.10299485668631014
20,452.0,1011.0,-2.357305502846298,-0.011238129111914422,-52.5,-0.2169322536185767
21,472.0,953.0,-2.68137651821862,0.00779031608882589,-52.5,0.128517143546099
22,491.0,906.0,-2.1002712157541,0.022326802166307915,-47.25,0.4238320718183406
23,523.5,858.5,-1.833712374581939,-0.005710764533580458,-50.25,-0.07187989599891953
24,548.5,805.5,-2.244031007751939,-0.005717425872633103,-47.5,-0.18731047937569656
25,566.5,763.5,-2.208333333333332,0.002111549964043148,-45.5,0.04524097005263883
26,590.5,714.5,-2.1535490676466615,0.0020509883096654913,-41.75,0.04212763839108025
27,606.0,680.0,-2.1240780565511717,0.004675850198721649,-41.75,0.129121025051401
28,631.0,631.0,-1.8953070175438596,0.008067130877272764,-53.5,0.22126521875177652
29,663.0,573.0,-1.6815476190476186,0.004154711986009002,-48.0,0.1340088201272418
30,687.0,535.0,-1.627289377289376,-0.0013820711521182645,-42.5,-0.051719451931714566
31,715.0,488.0,-1.7849865229110478,0.003335544958186422,-47.0,0.06293040293040209
32,740.0,441.0,-1.5014285714285718,0.012661325746231336,-40.5,0.3956678646301277
33,775.0,407.0,-0.9936507936507923,0.008578296502077004,-40.0,0.2753645457303997
34,820.0,361.0,-0.9506994799677724,-0.0019187786061037135,-39.5,-0.05772710649759971
35,857.0,328.0,-1.1091050066459918,-0.0038490361189852627,-31.5,-0.12202708953580055
36,881.0,298.0,-1.1947536590393735,6.129488353788341e-05,-41.75,0.1439923032891115
37,930.5,244.5,-0.8211204000677688,0.005327441615530261,-40.0,0.2615773950360417
38,976.0,218.0,-0.67159886896729,0.002510113428857659,-28.25,0.11131777579146007
39,1016.0,188.0,-0.5984848484848486,0.0036316034996246205,-24.5,0.16010310953200113
40,1060.0,169.0,-0.3513926499032878,0.00412353320438427,-16.0,0.18424242424242432
41,1110.0,156.0,-0.22999999999999998,0.0014362716747269148,-11.5,0.07181358373634572
42,1160.0,146.0,-0.20776548243059634,0.0017453436365308357,-10.5,0.08945351346280139
43,1211.0,135.0,-0.0510929730743972,0.0031553867461049526,-3.5,0.14933728666984358
44,1255.0,139.0,0.09090909090909083,0.0033229293844066073,4.0,0.14620889291389072
45,1299.0,143.0,0.24132481275338424,0.002362554578864128,13.5,0.10400534637705239
46,1353.0,166.0,0.2989197836631956,-0.0005476823514389043,16.0,-0.02050803200924267
47,1402.0,175.0,0.2003087487348989,0.0016916530060952862,11.0,0.1321702108516617
48,1461.0,188.0,0.563260205366519,0.00638212639840302,24.25,0.32398178474251293
49,1504.5,223.5,0.8482723182199248,0.003850263589238935,41.5,0.1566149468948761
50,1558.0,271.0,0.8764900991562712,0.0033966888222643,40.25,0.11736749483556075
51,1596.0,304.0,1.0830073078910463,0.004121979623275082,36.0,0.15055074776937039
52,1627.0,343.0,1.177591594695012,0.0013061111642171698,40.0,0.03146676229114709
53,1665.0,384.0,1.1459408324733404,-0.002285197154692886,41.0,-0.07676371178600849
54,1699.0,425.0,1.024064171122995,2.827742703094202e-05,36.25,0.018358935676623833
55,1737.5,456.5,1.182658703826588,0.011069087293353378,37.75,0.3265644056665722
56,1767.5,500.5,1.6771929824561393,0.00631331787689832,48.75,0.19953986658750278
57,1796.0,554.0,1.5817384370015937,0.0009344642598231069,46.75,0.044181286549707544
58,1828.0,594.0,1.7655555555555544,-1.6228295443287966e-05,38.5,0.06259990628857715
59,1846.0,631.0,1.706938249578748,-0.0005951623485542859,35.25,0.026247254712068013
60,1875.5,664.5,1.8180500649796905,0.006723133670850402,44.5,0.1622272998651555
61,1899.0,720.0,2.031392849309059,-0.007945337515247099,48.75,-0.21902503248984484
62,1924.0,762.0,1.3800000000000008,-0.004506848582819849,34.5,-0.11267121457049623
63,1949.0,789.0,1.8060504201680665,0.022166614051703032,33.75,0.4383712411619394
64,1966.5,829.5,2.2567424823238795,0.008421896459147898,43.75,0.0869760677079423
65,1988.0,876.5,1.980002555583951,-0.012461158703641194,44.5,-0.2824055352919643
66,2012.0,918.5,1.6919314117399509,-0.007506185108718914,41.0,-0.17975317855228212
67,2036.5,958.5,1.6204961984793869,0.0020874454792706373,40.5,0.057291410930233155
68,2062.0,999.5,1.8065142336004172,0.0019529652051021654,37.5,0.07802011930875707
69,2079.5,1033.5,1.776536437096901,0.006524744108948093,35.25,0.19165694619896456
70,2103.0,1070.0,2.1898281259983463,0.0029058388684743697,35.5,0.1693321756373054
71,2116.5,1104.5,2.115200788371512,-0.010030106176460659,34.0,-0.30132966211426293
72,2144.0,1138.0,1.5871688017698204,0.02053065566934391,34.25,0.19181044634841538
