,x,y,gradient,smoothness,gradient_even,smoothness_even
0,161,1914,-1.9411764705882353,-0.016421568627450894,-33.0,-0.27916666666666523
1,178,1881,-2.2203431372549005,-0.12244159027247246,-35.0,-1.7594983447924601
2,193,1844,-5.460173160173156,-0.07592101525924966,-42.5,-1.6568613984055105
3,200,1796,-5.5340659340659215,0.0677388297976538,-44.0,1.34848778672308
4,213,1756,-2.763197586726996,0.13012858873152935,-40.0,1.5687820757673627
5,230,1716,-2.396501782531196,-0.003328511127085071,-39.5,-0.03075390023919411
6,246,1677,-2.824705387205384,-0.024782512331531725,-36.5,-0.3429179399032307
7,257,1643,-3.0823376623376575,-0.004392015392015641,-38.5,0.009971741221736607
8,271,1600,-2.804761904761911,0.021319967388932673,-41.5,0.32299906989561933
9,287,1560,-2.436339522546419,0.012700300096257722,-35.5,0.21222843248705914
10,300,1529,-2.3803050397877925,-0.004756242568370789,-34.5,-0.09930371352784917
11,316,1491,-2.634946949602117,-0.004679585178990586,-37.5,-0.09840059365921405
12,329,1454,-2.5771062271062206,0.003659056460780352,-35.5,0.049524756852338925
13,344,1420,-2.5358974358974393,0.0012755102040813288,-35.0,0.020604395604390646
14,357,1384,-2.5358974358974393,0.00440287226001515,-35.0,0.07112332112332176
15,372,1350,-2.393650793650796,0.006093503919590834,-44.0,0.08527791049530009
17,418,1243,-2.0533333333333346,0.00028065704953580267,-46.5,0.06121331757487525
18,438,1203,-2.2429149797570886,-0.010136325970120916,-43.5,-0.19701754385964776
19,457,1156,-2.44736842105263,-0.0012127992044888847,-46.5,-0.02304318488528878
20,476,1110,-2.289001349527666,0.0036005161351420553,-44.5,0.06535087719298005
21,496,1067,-2.31666666666667,0.0012635837526409899,-49.0,0.032093642985602244
23,547,958,-1.938992042440315,-0.0006142482121984025,-50.0,0.04035189393361982
24,570,912,-2.144110275689222,-0.004263163065341018,-44.5,-0.10652737059270834
25,589,869,-2.1520467836257318,0.004893336033686822,-47.5,0.1541258449153169
26,615,817,-1.8358585858585883,0.0008892179944812589,-41.5,0.09586466165413654
27,633,786,-1.9603174603174587,-0.002875903386107423,-39.0,-0.04295506081220335
28,654,739,-1.921768707482995,0.0047773164099693816,-44.5,0.14106782106781957
29,682,697,-1.6781818181818196,-0.0004723994488648603,-41.0,0.037325359544206016
30,704,657,-1.847117988394583,-0.0015655058333406205,-43.5,-0.017198683669271908
31,729,610,-1.7125791855203634,0.00399901837343801,-43.5,0.10056478410630776
32,755,570,-1.6459884201819674,0.0028031128539484466,-47.5,0.0812146764901307
33,786,515,-1.550149832540102,0.005620203324790837,-47.5,0.1689283498759302
34,816,475,-1.308131720430107,0.004500548214884808,-40.5,0.1321457688046137
35,848,434,-1.2858582949308746,0.003163333189254852,-40.5,0.09721625820416158
36,879,394,-1.113699204021784,0.003863321632749765,-36.0,0.12029264418377261
37,914,362,-1.0452730065633293,-0.0005383485038910202,-34.0,-0.008361885810042491
38,945,326,-1.1304229756418689,0.0006301204290695287,-44.5,0.10363589490823433
39,994,273,-0.8380012167468607,0.005749557590110163,-39.5,0.2603334390404466
40,1035,247,-0.6097560975609757,0.003484812101384566,-25.0,0.14287729615676725
41,1076,223,-0.5522466244333262,0.0023340917913498797,-25.5,0.12251504217629994
42,1129,196,-0.36472601320837583,0.004467581305704382,-19.0,0.21506873312323094
43,1175,185,-0.1221091581868643,0.0033337075395005666,-5.5,0.1527187378294843
44,1223,185,-0.059288537549407216,0.000501210268635764,-2.5,0.02615129089227164
45,1267,180,-0.06980657640232102,0.0006566534422564408,-3.0,0.036603333102188884
46,1317,179,0.013918128654970552,0.002779147328589852,0.5,0.12676239527765887
47,1362,181,0.18371821415299672,0.0031606768757150893,8.5,0.143191332172378
48,1408,196,0.30030079299972656,0.002321361575474089,15.5,0.11959569837243678
