,arclength loc,x2D,y2D,tangentX,tangentY,normalX,normalY
2385,2385,1699.711358170134,520.2396351802217,1,0.9428921474303544,0.6860263512534867,-0.7275766938171039
2386,2386,1700.4385417404571,520.926078225967,1,0.9450576977439659,0.6868590743823079,-0.7267906245533711
2387,2387,1701.1649400128194,521.613352225118,1,0.9472210534451968,0.6876882614404405,-0.7260060985122814
2388,2388,1701.8905545305274,522.3014536505572,1,0.9493822180608269,0.6885139303144784,-0.7252231158498118
2389,2389,1702.6153868370147,522.9903789930089,1,0.9515411951234394,0.6893360988064846,-0.7244416766602103
2390,2390,1703.3394384757783,523.6801247609582,1,0.953697988171203,0.6901547846340788,-0.7236617809769205
2391,2391,1704.0627109903182,524.370687480565,1,0.9558526007476739,0.6909700054305388,-0.7228834287734925
2392,2392,1704.78520592408,525.06206369558,1,0.9580050364015945,0.6917817787449076,-0.7221066199644838
2393,2393,1705.5069248203922,525.7542499672627,1,0.9601552986866932,0.6925901220421065,-0.7213313544063505
2394,2394,1706.2278692224127,526.4472428742939,1,0.9623033911614906,0.6933950527030549,-0.720557631898329
2395,2395,1706.9480406730704,527.141039012693,1,0.964449317389109,0.6941965880248003,-0.7197854521833057
2396,2396,1707.6674407150078,527.8356349957367,1,0.966593080937075,0.6949947452206474,-0.719014814948682
2397,2397,1708.3860708905297,528.5310274538705,1,0.968734685377146,0.6957895414203044,-0.7182457198272207
2398,2398,1709.1039327415444,529.2272130346302,1,0.9708741342851087,0.6965809936700225,-0.717478166397894
2399,2399,1709.8210278095146,529.9241884025543,1,0.9730114312406094,0.6973691189327524,-0.7167121541867115
2400,2400,1710.5373576354007,530.6219502391044,1,0.9751465798269645,0.6981539340882994,-0.715947682667547
2401,2401,1711.2529237596132,531.3204952425791,1,0.9772795836309939,0.6989354559334897,-0.7151847512629479
2402,2402,1711.9677277219594,532.0198201280324,1,0.9794104462428354,0.6997137011823371,-0.7144233593449439
2403,2403,1712.6817710615921,532.7199216271924,1,0.9815391712557757,0.7004886864662176,-0.7136635062358401
2404,2404,1713.3950553169636,533.420796488376,1,0.9836657622660833,0.7012604283340507,-0.712905191209002
2405,2405,1714.1075820257756,534.1224414764075,1,0.9857902228728378,0.7020289432524833,-0.7121484134896332
2406,2406,1714.819352724929,534.8248533725385,1,0.9879125566777612,0.7027942476060779,-0.7113931722555445
2407,2407,1715.5303689504815,535.528028974363,1,0.9900327672850621,0.7035563576975103,-0.7106394666379098
2408,2408,1716.240632237598,536.2319650957367,1,0.9921508583012688,0.7043152897477667,-0.7098872957220179
2409,2409,1716.9501441205055,536.9366585666962,1,0.9942668333350702,0.7050710598963467,-0.7091366585480139
2410,2410,1717.6589061324505,537.6421062333758,1,0.9963806959971676,0.7058236842014757,-0.7083875541116286
2411,2411,1718.3669198056512,538.3483049579291,1,0.9984924499001048,0.7065731786403112,-0.7076399813649077
