,arclength_loc,x_2D,y_2D,tangent_x,tangent_y,normal_x,normal_y
0,0,139.356647239439,1943.0571837288974,1,-2.828357867369545,0.9428064764102915,0.3333405886459229
1,1,139.69001554757546,1942.1143870535054,1,-2.827828682516185,0.9427868708007082,0.33339603513810534
2,2,140.02343932503507,1941.1716099936314,1,-2.8272992269636212,0.9427672453688737,0.33345152730132455
3,3,140.35691861751675,1940.2288525691122,1,-2.826769500504249,0.9427476000857375,0.33350706519140205
4,4,140.69045347077537,1939.2861147998137,1,-2.8262395029302376,0.9427279349221941,0.33356264886425097
5,5,141.02404393062156,1938.343396705631,1,-2.825709234033531,0.9427082498490806,0.3336182783758756
6,6,141.35769004292234,1937.400698306488,1,-2.825178693605841,0.9426885448371796,0.33367395378237275
7,7,141.6913918536004,1936.4580196223383,1,-2.8246478814386564,0.942668819857216,0.33372967513993057
8,8,142.02514940863512,1935.5153606731647,1,-2.824116797323235,0.9426490748798595,0.33378544250483005
9,9,142.3589627540621,1934.572721478979,1,-2.8235854410506067,0.9426293098757224,0.33384125593344416
10,10,142.6928319359731,1933.630102059823,1,-2.823053812411574,0.9426095248153611,0.33389711548223855
11,11,143.02675700051662,1932.6875024357676,1,-2.822521911196707,0.9425897196692745,0.33395302120777187
12,12,143.36073799389774,1931.744922626913,1,-2.8219897371963496,0.9425698944079053,0.33400897316669537
13,13,143.69477496237823,1930.8023626533895,1,-2.8214572902006134,0.9425500490016387,0.33406497141575403
14,14,144.02886795227658,1929.859822535357,1,-2.8209245699993812,0.9425301834208027,0.3341210160117856
15,15,144.3630170099683,1928.9173022930047,1,-2.8203915763823044,0.9425102976356684,0.3341771070117219
16,16,144.69722218188573,1927.974801946552,1,-2.819858309138804,0.942490391616449,0.3342332444725882
17,17,145.03148351451838,1927.0323215162475,1,-2.819324768058069,0.9424704653333,0.33428942845150367
18,18,145.36580105441286,1926.0898610223705,1,-2.8187909529290582,0.9424505187563198,0.3343456590056818
19,19,145.70017484817325,1925.1474204852298,1,-2.818256863540496,0.9424305518555485,0.3344019361924306
20,20,146.03460494246062,1924.2049999251637,1,-2.817722499680878,0.9424105646009682,0.33445826006915197
21,21,146.36909138399378,1923.2625993625416,1,-2.8171878611384633,0.9423905569625028,0.33451463069334336
22,22,146.7036342195488,1922.320218817762,1,-2.8166529477012814,0.942370528910018,0.33457104812259625
23,23,147.0382334959599,1921.3778583112544,1,-2.8161177591571263,0.9423504804133216,0.33462751241459815
24,24,147.37288926011843,1920.435517863478,1,-2.815582295293558,0.9423304114421617,0.33468402362713123
25,25,147.707601558974,1919.4931974949225,1,-2.8150465558979043,0.9423103219662288,0.3347405818180736
26,26,148.04237043953393,1918.5508972261075,1,-2.814510540757258,0.9422902119551537,0.3347971870453986
27,27,148.37719594886366,1917.6086170775836,1,-2.813974249658476,0.9422700813785089,0.33485383936717594
28,28,148.7120781340868,1916.6663570699318,1,-2.8134376823881815,0.942249930205807,0.3349105388415712
29,29,149.04701704238485,1915.724117223763,1,-2.812900838732762,0.9422297584065025,0.3349672855268463
30,30,149.38201272099818,1914.7818975597195,1,-2.812363718478367,0.9422095659499895,0.33502407948136
31,31,149.71706521722513,1913.8396980984735,1,-2.811826321410914,0.9421893528056026,0.33508092076356705
32,32,150.05217457842247,1912.8975188607285,1,-2.8112886473160805,0.942169118942617,0.3351378094320197
33,33,150.38734085200596,1911.9553598672182,1,-2.810750695979308,0.9421488643302482,0.3351947455453673
34,34,150.7225640854498,1911.0132211387076,1,-2.810212467185802,0.9421285889376514,0.3352517291623562
35,35,151.05784432628715,1910.0711026959925,1,-2.809673960720529,0.9421082927339217,0.33530876034183055
36,36,151.3931816221098,1909.1290045598994,1,-2.809135176368218,0.9420879756880942,0.3353658391427321
37,37,151.72857602056874,1908.1869267512857,1,-2.80859611391336,0.942067637769143,0.33542296562410046
38,38,152.06402756937408,1907.2448692910402,1,-2.808056773140207,0.9420472789459826,0.3354801398450736
39,39,152.39953631629493,1906.3028322000828,1,-2.8075171538327734,0.9420268991874656,0.33553736186488725
40,40,152.73510230915986,1905.3608154993642,1,-2.80697725577483,0.9420064984623848,0.33559463174287674
41,41,153.07072559585671,1904.4188192098668,1,-2.8064370787499135,0.9419860767394712,0.33565194953847505
42,42,153.40640622433284,1903.476843352604,1,-2.8058966225413164,0.9419656339873953,0.33570931531121473
