,x,y,gradient,smoothness,gradientEven,smoothnessEven
0,151.0,1814.0,7.666666666666667,-0.37500000000000133,46.0,-2.250000000000008
6,248.0,1621.0,-8.806666666666644,0.054988836590373166,-35.0,3.4464079121384827
7,273.0,1580.0,-2.00060606060606,0.16943150966680343,-57.0,4.093906485671184
9,286.0,1535.0,9.136274509803911,-0.4317904725992955,-21.5,-1.1114064856711892
11,318.0,1435.0,-2.277472527472529,0.029166772167923648,-34.5,0.28367157036511514
12,337.5,1395.0,-2.274323525936424,0.010786339349635701,-39.0,0.15062044393164165
13,353.0,1357.0,-1.9762316396092459,0.008201287818078554,-34.5,0.0003699188592953817
14,380.0,1326.0,-2.2735836882178333,-0.00555292760596586,-35.5,-0.16772833603953075
15,394.0,1286.0,-2.3116883116883074,-0.17647811187106555,-36.0,-4.963814216497138
18,450.0,1172.0,-1.7647375079063892,0.0863135202905263,-41.0,4.576058018515308
19,470.0,1131.0,-3.425366568914953,-0.080389091444074,-43.5,-1.264461389587467
20,481.0,1085.0,-4.293660287081323,0.0015661247144034829,-40.5,-0.1936949645165309
21,489.0,1050.0,-3.8127564979480146,0.016787378273506216,-34.5,-4.40543358728565
22,532.0,1016.0,-13.104527461652623,0.23366325448505743,-45.5,-4.094884377288627
25,575.0,885.0,-1.8049595332203978,0.00427829222806736,-39.5,0.09398162640291563
26,598.0,846.0,-1.7082516434090653,0.001153613586147191,-44.5,0.00929968998184627
27,627.0,796.0,-1.7863601532567053,0.0010378306573209373,-48.0,0.014125821704532804
28,652.0,750.0,-1.6799999999999997,0.0021272030651341076,-42.0,0.05318007662835278
29,677.0,712.0,-1.6799999999999997,-0.0032603318250377447,-42.0,-0.08150829562594364
30,702.0,666.0,-1.843016591251887,0.0013920727007948157,-47.0,0.043568844948155494
31,728.0,618.0,-1.5928623101036887,0.008057029406502717,-43.0,0.2166046990371413
32,757.0,580.0,-1.4098071931776044,0.0004108361676880175,-42.5,0.00011527280259304717
33,788.0,533.0,-1.5926317644985026,-0.0009768285721530844,-48.5,-0.034634642949437744
34,818.0,483.0,-1.4790764790764799,0.008029574522485814,-46.0,0.26630145223482105
35,851.0,441.0,-1.0600288600288605,0.008966913137182725,-34.0,0.2931434216556872
36,881.0,415.0,-0.8927896357651055,0.0022812398257361453,-33.0,0.03117462809070526
37,924.0,375.0,-0.99767960384745,-0.001563750744984039,-33.5,-0.06589150690377199
38,950.0,348.0,-1.0245726495726495,0.00041390206118888107,-36.5,0.0550058580897812
39,996.0,302.0,-0.8876678876678876,0.004043448411580287,-40.5,0.18292124542124566
