,x,y,gradient,smoothness,gradientEven,smoothnessEven
0,104.0,1912.0,-3.6,0.04857142857142795,-54.0,0.7285714285714193
1,119.0,1858.0,-2.8714285714285808,0.02429570429570431,-46.0,0.2835664335664376
2,139.0,1820.0,-3.032867132867125,-0.0031469679745539103,-43.5,-0.0803666161424701
3,152.0,1771.0,-3.032161803713521,0.017613328458711927,-41.5,0.3141486201970025
4,168.0,1737.0,-2.40456989247312,-0.006765193361411848,-37.0,-0.06030798703213236
5,183.0,1697.0,-3.1527777777777857,-0.006172273813400353,-35.5,-0.28386689475397553
6,192.0,1666.0,-2.972303681981071,0.028545686515328638,-35.5,0.6326071804013047
7,214.0,1626.0,-1.8875634169751763,0.0041432556101939355,-36.5,0.28094822108103124
8,231.0,1593.0,-2.4104072398190084,-0.012550569700337244,-34.5,-0.25251130770674024
9,244.0,1557.0,-2.3925860323886567,0.016457871539676545,-35.5,0.3747377065768518
10,263.0,1522.0,-1.6609318266653048,0.024285476535616433,-46.0,0.10975130731219807
11,310.0,1465.0,-2.1730834177642606,-0.020005323608512024,-48.5,-0.4409244609988967
12,326.0,1425.0,-2.5427807486630982,-0.24136351295300099,-42.0,-4.20757593817671
13,343.0,1381.0,-10.58823529411768,0.04232238349886064,-40.0,-3.8227654698243008
14,346.0,1345.0,-10.1883116883117,0.24413982601838966,-37.5,3.777841987234792
15,357.0,1306.0,-3.032551319648096,0.4359000139645307,-40.5,4.03463203463204
16,377.0,1264.0,-2.1190476190476204,0.026759667419544553,-37.0,0.5510495693878763
17,392.0,1232.0,-1.9304521808723436,0.004934129495954499,-41.0,-0.11617434852728792
18,426.0,1182.0,-2.3513963161021962,-0.011875116872906266,-39.5,-0.2748855523070546
19,437.0,1153.0,-2.4802232854864528,0.0065533507575797,-35.5,0.2975536442241582
20,456.0,1111.0,-1.7562890276538798,0.029056633794853806,-37.0,0.562250573277959
22,525.0,1028.0,-39.69195402298851,0.20754647676162818,-46.0,-19.037972263868063
23,526.0,987.0,-39.431666666666665,0.31262566444050555,-42.0,18.955084389623373
25,572.0,905.0,-2.465034965034963,-0.012485642376946882,-45.0,-0.32577404479578664
