,x,y,w,h,score,match
36,8,75,38,53,0.8563548,1 copy 6.jpg
35,57,74,38,53,0.9213559,1 copy 6.jpg
37,104,81,38,53,0.8248589,1 copy 6.jpg
19,150,67,45,68,0.89609027,3 copy 4.jpg
21,202,69,45,68,0.91981083,3 copy 4.jpg
58,248,65,44,80,0.9399754,1 copy 2.jpg
60,297,66,44,80,0.95483583,1 copy 2.jpg
64,343,68,44,80,0.9394804,1 copy 2.jpg
65,392,68,44,80,0.95433,1 copy 2.jpg
61,487,66,44,80,0.9995699,1 copy 2.jpg
66,534,69,44,80,0.96090764,1 copy 2.jpg
63,583,67,44,80,0.9570677,1 copy 2.jpg
59,630,65,44,80,0.9427128,1 copy 2.jpg
56,719,64,44,80,0.9519196,1 copy 2.jpg
57,811,64,44,80,0.95840186,1 copy 2.jpg
55,909,61,44,80,0.9298714,1 copy 2.jpg
34,957,68,38,53,0.89853173,1 copy 6.jpg
54,999,59,44,80,0.9580569,1 copy 2.jpg
17,1094,62,45,68,0.91493434,3 copy 4.jpg
53,1140,57,44,80,0.9231641,1 copy 2.jpg
31,1195,64,38,53,0.99931157,1 copy 6.jpg
49,1236,53,48,70,0.9275414,1 copy 3.jpg
50,1288,53,48,70,0.9021263,1 copy 3.jpg
0,1347,58,47,53,0.9045155,3 copy.jpg
48,1394,45,48,70,0.9415296,1 copy 3.jpg
47,1450,43,48,70,0.9332345,1 copy 3.jpg
44,1500,41,48,70,0.9407086,1 copy 3.jpg
45,1547,41,48,70,0.9434914,1 copy 3.jpg
46,1599,41,48,70,0.9994714,1 copy 3.jpg
3,1655,44,44,68,0.9114305,1 copy.jpg
7,1704,48,44,68,0.92293054,1 copy.jpg
32,1814,64,38,53,0.9321754,1 copy 6.jpg
33,1869,66,38,53,0.92521113,1 copy 6.jpg
16,1913,61,45,68,0.90408534,3 copy 4.jpg
62,1969,66,44,80,0.92769116,1 copy 2.jpg
41,2082,81,43,78,0.9996008,1 copy 4.jpg
43,2138,85,43,78,0.92989326,1 copy 4.jpg
42,2202,84,43,78,0.92355245,1 copy 4.jpg
52,2299,73,48,70,0.8676645,1 copy 3.jpg
20,2360,68,45,68,0.88150185,3 copy 4.jpg
12,2412,61,44,68,0.9339775,1 copy.jpg
10,2465,57,44,68,0.922077,1 copy.jpg
39,2532,62,40,51,0.99882233,1 copy 5.jpg
30,2587,60,38,53,0.9251843,1 copy 6.jpg
29,2637,59,38,53,0.83389646,1 copy 6.jpg
14,2689,40,45,68,0.81492037,3 copy 4.jpg
40,2690,149,40,51,0.8497462,1 copy 5.jpg
4,2736,44,44,68,0.88503695,1 copy.jpg
2,2789,42,44,68,0.90954214,1 copy.jpg
5,2840,45,44,68,0.914554,1 copy.jpg
6,2897,46,44,68,0.8967264,1 copy.jpg
8,2951,51,44,68,0.91535777,1 copy.jpg
15,3003,52,45,68,0.90827996,3 copy 4.jpg
9,3056,53,44,68,0.92694557,1 copy.jpg
11,3147,58,44,68,0.9244635,1 copy.jpg
18,3194,63,45,68,0.93380356,3 copy 4.jpg
13,3292,68,44,68,0.9992476,1 copy.jpg
1,3363,74,47,53,0.934684,3 copy.jpg
51,3457,69,48,70,0.95316374,1 copy 3.jpg
22,3557,75,45,68,0.95809984,3 copy 4.jpg
24,3605,77,45,68,0.91723377,3 copy 4.jpg
67,3653,74,44,80,0.94975424,1 copy 2.jpg
25,3698,78,45,68,0.9365885,3 copy 4.jpg
26,3741,78,45,68,0.93849283,3 copy 4.jpg
23,3788,76,45,68,0.95160866,3 copy 4.jpg
68,3883,75,44,80,0.9506606,1 copy 2.jpg
69,3929,76,44,80,0.9390201,1 copy 2.jpg
73,3977,80,44,80,0.9456045,1 copy 2.jpg
74,4024,80,44,80,0.93733346,1 copy 2.jpg
75,4072,81,44,80,0.92929876,1 copy 2.jpg
72,4117,79,44,80,0.9362727,1 copy 2.jpg
70,4163,78,44,80,0.94143146,1 copy 2.jpg
28,4213,84,45,68,0.9331357,3 copy 4.jpg
71,4262,78,44,80,0.91746265,1 copy 2.jpg
38,4296,1,40,51,0.7770917,1 copy 5.jpg
27,4363,83,45,68,0.93489414,3 copy 4.jpg
