,x,y,w,h,score,match
45,15,53,44,80,0.8761521,1 copy 2.jpg
44,118,50,44,80,0.8969922,1 copy 2.jpg
22,165,54,38,53,0.83065,1 copy 6.jpg
46,214,54,44,80,0.8277033,1 copy 2.jpg
3,312,66,42,76,0.77194625,4 copy.jpg
43,397,47,44,80,0.78316313,1 copy 2.jpg
50,454,59,44,80,0.86168706,1 copy 2.jpg
62,576,91,44,80,0.8377259,1 copy 2.jpg
21,689,92,44,57,0.7777185,3 copy 3.jpg
20,780,91,44,57,0.806099,3 copy 3.jpg
51,874,63,44,80,0.8697487,1 copy 2.jpg
49,971,57,44,80,0.8461067,1 copy 2.jpg
52,1066,64,44,80,0.8266705,1 copy 2.jpg
19,1114,78,44,57,0.7855596,3 copy 3.jpg
2,1159,69,47,53,0.7996112,3 copy.jpg
32,1208,66,53,52,0.84078646,4 copy 2.jpg
18,1259,74,44,57,0.8048505,3 copy 3.jpg
40,1310,57,48,70,0.8693128,1 copy 3.jpg
1,1364,62,47,53,0.90955144,3 copy.jpg
0,1419,59,47,53,0.8920303,3 copy.jpg
23,1479,57,38,53,0.92323637,1 copy 6.jpg
4,1525,47,44,68,0.94207835,1 copy.jpg
5,1574,47,44,68,0.89593786,1 copy.jpg
24,1633,57,38,53,0.9081381,1 copy 6.jpg
25,1687,57,38,53,0.9193427,1 copy 6.jpg
26,1783,64,38,53,0.86629,1 copy 6.jpg
27,1834,65,38,53,0.8580055,1 copy 6.jpg
29,1889,69,38,53,0.9092117,1 copy 6.jpg
28,1946,66,38,53,0.8527899,1 copy 6.jpg
36,2061,66,43,78,0.89991677,1 copy 4.jpg
15,2112,88,45,68,0.9248398,3 copy 4.jpg
38,2179,95,43,78,0.90529364,1 copy 4.jpg
37,2233,86,43,78,0.9166551,1 copy 4.jpg
42,2277,84,48,70,0.9325821,1 copy 3.jpg
9,2392,76,44,68,0.88296026,1 copy.jpg
8,2452,71,44,68,0.93353105,1 copy.jpg
7,2502,67,44,68,0.9138527,1 copy.jpg
33,2570,71,40,51,0.8960384,1 copy 5.jpg
16,2677,72,45,39,0.91903937,3 copy 2.jpg
6,2727,56,44,68,0.9233168,1 copy.jpg
39,2776,55,48,70,0.92773485,1 copy 3.jpg
11,2833,55,45,68,0.94146234,3 copy 4.jpg
12,2886,57,45,68,0.9545329,3 copy 4.jpg
47,2942,55,44,80,0.9303459,1 copy 2.jpg
13,2998,63,45,68,0.9543362,3 copy 4.jpg
14,3051,64,45,68,0.9487875,3 copy 4.jpg
30,3104,83,38,53,0.9229532,1 copy 6.jpg
41,3195,64,48,70,0.8863656,1 copy 3.jpg
10,3239,83,44,68,0.9224158,1 copy.jpg
31,3298,99,38,53,0.773767,1 copy 6.jpg
17,3386,80,45,39,0.8647482,3 copy 2.jpg
59,3466,73,44,80,0.80698305,1 copy 2.jpg
60,3558,73,44,80,0.90585196,1 copy 2.jpg
56,3654,70,44,80,0.94219476,1 copy 2.jpg
57,3747,70,44,80,0.876649,1 copy 2.jpg
55,3795,69,44,80,0.7991218,1 copy 2.jpg
58,3841,70,44,80,0.8617385,1 copy 2.jpg
61,3888,75,44,80,0.9470108,1 copy 2.jpg
54,3983,65,44,80,0.80126196,1 copy 2.jpg
35,4033,65,43,78,0.9039949,1 copy 4.jpg
34,4082,64,43,78,0.8142179,1 copy 4.jpg
53,4224,64,44,80,0.7935884,1 copy 2.jpg
48,4286,55,44,80,0.79164636,1 copy 2.jpg
