,x,y,gradient,smoothness,gradient_even,smoothness_even
18,450,1139,-2.590188172043014,0.013233198627498846,-40.0,0.21116117499631848
19,465,1098,-2.4794633642930783,0.014509166929146104,-41.0,0.2789672304209656
20,484,1057,-2.032253711201083,0.01741418411310041,-39.5,0.3332922882071472
21,504,1019,-1.812878787878784,-0.004584368482394761,-39.5,-0.16928981106612717
22,528,978,-2.370833333333337,-0.006255799271787668,-43.0,-0.2383980306945448
23,544,933,-2.2896748492678736,0.013343545567794313,-41.5,0.40914402246949777
24,571,895,-1.5525452883943416,0.003000425827265854,-41.0,0.10336194105318963
25,597,851,-2.0829509671614943,-0.0155400012511345,-44.5,-0.3790917282724653
26,616,806,-2.310728744939272,0.004587851944127294,-45.0,0.10647548358074754
27,636,761,-1.8699999999999992,0.01683584836216417,-42.0,0.3558888479941107
28,666,722,-1.5989510489510508,-0.0018004975793437378,-39.5,0.02831293706293625
29,688,682,-1.8133741258741267,-0.0038039457587329822,-43.5,-0.06536353717204779
30,714,635,-1.7296781232951464,0.000928808884065456,-41.0,0.032177259015494286
31,735,600,-1.7490196078431381,0.0013292969488213902,-45.5,0.05848985529836659
32,765,544,-1.6126984126984132,0.003388021875416848,-50.0,0.10308123249299772
33,798,500,-1.5428571428571427,0.004957168052406143,-48.0,0.14801587301587293
34,828,448,-1.3166666666666673,0.008874820831342573,-39.5,0.26624462494027723
35,858,421,-1.0103678929765882,0.006529402497144465,-36.0,0.18717062507385185
36,897,376,-0.9423254165189636,0.0021293973507958645,-34.5,0.07176682597439976
37,928,352,-0.8668342410277887,0.0012042571556658763,-29.0,0.03449905545658871
38,963,318,-0.8733273056057862,0.0012507948787151939,-33.5,0.06399521382018225
39,1007,285,-0.7388438133874242,0.002608805780423608,-37.5,0.12578516347612756
40,1065,243,-0.6217569786535311,0.001273169689250642,-32.5,0.07394219260934687
41,1107,220,-0.5909594281687305,0.0027842719748454904,-25.5,0.12392335536702337
