,arclength loc,x2D,y2D,tangentX,tangentY,normalX,normalY
0,0,230.90593381455076,1943.0242833715856,1,-4.4535743003262365,0.9757060430781711,0.21908381387208425
1,1,231.1250648047693,1942.0485879226233,1,-4.451560127542563,0.9756848493114649,0.2191781805382648
2,2,231.34429020410687,1941.0729136817595,1,-4.449545834308984,0.9756636268709059,0.21927263212975237
3,3,231.5636100975494,1940.0972606776947,1,-4.447531420393772,0.9756423757024509,0.2193671687688876
4,4,231.78302457020632,1939.1216289391843,1,-4.445516885564878,0.9756210957519251,0.21946179057825266
5,5,232.00253370730917,1938.1460184950374,1,-4.443502229589918,0.9755997869650221,0.21955649768067256
6,6,232.22213759421243,1937.1704293741177,1,-4.441487452236241,0.9755784492873043,0.21965129019921267
7,7,232.4418363163937,1936.194861605343,1,-4.439472553270842,0.9755570826642004,0.21974616825718302
8,8,232.66162995945444,1935.2193152176862,1,-4.4374575324604475,0.9755356870410082,0.2198411319781354
9,9,232.88151860911935,1934.2437902401748,1,-4.435442389571421,0.975514262362891,0.21993618148586777
10,10,233.10150235123731,1933.2682867018912,1,-4.433427124369836,0.9754928085748792,0.22003131690442188
11,11,233.3215812717812,1932.2928046319728,1,-4.431411736621449,0.9754713256218691,0.22012653835808493
12,12,233.54175545684842,1931.3173440596122,1,-4.429396226091702,0.975449813448623,0.22022184597139
13,13,233.76202499266094,1930.3419050140574,1,-4.427380592545722,0.9754282719997682,0.22031723986911678
14,14,233.9823899655656,1929.3664875246116,1,-4.425364835748311,0.9754067012197974,0.2204127201762926
15,15,234.20285046203455,1928.3910916206337,1,-4.423348955463967,0.9753851010530675,0.22050828701819183
16,16,234.42340656866514,1927.4157173315384,1,-4.421332951456858,0.9753634714437994,0.22060394052033808
17,17,234.64405837218078,1926.4403646867963,1,-4.4193168234908216,0.9753418123360775,0.22069968080850433
18,18,234.86480595943027,1925.465033715934,1,-4.417300571329416,0.9753201236738503,0.2207955080087116
19,19,235.08564941738874,1924.4897244485337,1,-4.41528419473584,0.9752984054009289,0.22089142224723307
20,20,235.30658883315786,1923.5144369142345,1,-4.413267693472986,0.9752766574609862,0.2209874236505921
21,21,235.52762429396574,1922.5391711427314,1,-4.411251067303431,0.9752548797975579,0.2210835123455634
22,22,235.74875588716756,1921.5639271637765,1,-4.4092343159894245,0.9752330723540412,0.22117968845917424
23,23,235.9699837002455,1920.5887050071779,1,-4.407217439292887,0.9752112350736944,0.22127595211870502
24,24,236.1913078208092,1919.613504702801,1,-4.405200436975431,0.9751893678996371,0.22137230345168876
25,25,236.4127283365961,1918.6383262805682,1,-4.403183308798324,0.975167470774848,0.22146874258591376
26,26,236.6342453354715,1917.6631697704586,1,-4.401166054522534,0.9751455436421678,0.22156526964942197
27,27,236.85585890542868,1916.6880352025087,1,-4.399148673908685,0.975123586444295,0.22166188477051144
28,28,237.07756913458937,1915.7129226068123,1,-4.397131166717079,0.9751015991237882,0.22175858807773616
29,29,237.29937611120434,1914.737832013521,1,-4.395113532707708,0.9750795816230643,0.22185537969990612
30,30,237.52127992365283,1913.762763452844,1,-4.393095771640211,0.9750575338843992,0.22195225976608987
31,31,237.74328066044382,1912.787716955048,1,-4.391077883273919,0.9750354558499255,0.22204922840561284
32,32,237.96537841021498,1911.8126925504578,1,-4.389059867367821,0.9750133474616342,0.22214628574806
33,33,238.18757326173437,1910.8376902694563,1,-4.38704172368059,0.9749912086613729,0.2222434319232747
34,34,238.40986530389978,1909.8627101424845,1,-4.385023451970554,0.974969039390846,0.22234066706136127
35,35,238.6322546257393,1908.887752200042,1,-4.383005051995741,0.9749468395916139,0.22243799129268294
36,36,238.85474131641126,1907.9128164726867,1,-4.380986523513805,0.9749246092050929,0.22253540474786646
37,37,239.07732546520526,1906.9379029910353,1,-4.378967866282104,0.9749023481725544,0.22263290755779863
38,38,239.30000716154132,1905.9630117857632,1,-4.376949080057639,0.9748800564351248,0.2227304998536302
39,39,239.5227864949711,1904.988142887605,1,-4.374930164597102,0.9748577339337846,0.2228281817667738
40,40,239.7456635551777,1904.0132963273536,1,-4.372911119656838,0.9748353806093689,0.22292595342890675
41,41,239.96863843197622,1903.0384721358623,1,-4.370891944992855,0.9748129964025654,0.2230238149719711
42,42,240.19171121531346,1902.063670344043,1,-4.368872640360832,0.9747905812539158,0.22312176652817384
43,43,240.41488199526896,1901.0888909828673,1,-4.3668532055161124,0.974768135103814,0.22321980822998777
44,44,240.63815086205466,1900.1141340833665,1,-4.364833640213706,0.9747456578925063,0.22331794021015242
45,45,240.86151790601522,1899.139399676632,1,-4.362813944208273,0.9747231495600902,0.2234161626016749
46,46,241.08498321762877,1898.1646877938144,1,-4.360794117254158,0.9747006100465152,0.2235144755378295
47,47,241.30854688750662,1897.1899984661254,1,-4.358774159105346,0.9746780392915815,0.22361287915215997
48,48,241.53220900639394,1896.2153317248365,1,-4.356754069515489,0.9746554372349391,0.2237113735784792
49,49,241.75596966516954,1895.2406876012794,1,-4.354733848237923,0.9746328038160886,0.22380995895086886
50,50,241.97982895484682,1894.266066126847,1,-4.352713495025602,0.97461013897438,0.2239086354036834
51,51,242.20378696657338,1893.291467332992,1,-4.350693009631177,0.9745874426490121,0.2240074030715468
52,52,242.4278437916317,1892.3168912512288,1,-4.348672391806923,0.9745647147790323,0.22410626208935677
53,53,242.6519995214394,1891.3423379131325,1,-4.34665164130482,0.9745419553033362,0.22420521259228143
54,54,242.87625424754933,1890.3678073503397,1,-4.34463075787645,0.9745191641606671,0.22430425471576515
55,55,243.10060806164964,1889.3932995945477,1,-4.342609741273098,0.9744963412896153,0.22440338859552406
56,56,243.32506105556484,1888.418814677516,1,-4.34058859124568,0.9744734866286178,0.2245026143675504
57,57,243.54961332125507,1887.444352631065,1,-4.338567307544763,0.9744506001159581,0.2246019321681122
58,58,243.77426495081727,1886.4699134870775,1,-4.336545889920587,0.9744276816897651,0.22470134213375273
59,59,243.9990160364849,1885.495497277498,1,-4.334524338123038,0.9744047312880135,0.22480084440129275
60,60,244.22386667062844,1884.5211040343333,1,-4.332502651901662,0.9743817488485225,0.22490043910783014
61,61,244.44881694575537,1883.546733789652,1,-4.330480831005642,0.9743587343089556,0.22500012639074218
