,x,y,w,h,score,match
75,124,1733,30,30,0.79581094,small_round.jpg
68,228,1812,30,30,0.8121941,03_18_2023 LG 282 copy.jpg
67,245,1776,30,30,0.8886343,03_18_2023 LG 282 copy.jpg
74,287,1670,30,30,0.8739244,small_round.jpg
65,309,1599,30,30,0.79997504,03_18_2023 LG 282 copy.jpg
39,320,1886,30,30,0.78969854,round_light.jpg
64,323,1562,30,30,0.7961371,03_18_2023 LG 282 copy.jpg
63,339,1525,30,30,0.8370458,03_18_2023 LG 282 copy.jpg
62,353,1488,30,30,0.8837268,03_18_2023 LG 282 copy.jpg
15,357,1812,30,30,0.7828379,left_back_bent.jpg
66,373,1650,30,30,0.79299706,03_18_2023 LG 282 copy.jpg
61,379,1413,30,30,0.8870121,03_18_2023 LG 282 copy.jpg
14,393,1735,30,30,0.81356496,left_back_bent.jpg
60,397,1376,30,30,0.8908709,03_18_2023 LG 282 copy.jpg
33,443,1300,30,30,0.8465834,round_light.jpg
59,448,1253,30,30,0.876576,03_18_2023 LG 282 copy.jpg
58,465,1212,30,30,0.8477082,03_18_2023 LG 282 copy.jpg
57,485,1167,30,30,0.8427704,03_18_2023 LG 282 copy.jpg
56,526,1082,30,30,0.9187362,03_18_2023 LG 282 copy.jpg
55,545,1039,30,30,0.84477156,03_18_2023 LG 282 copy.jpg
40,550,1905,30,30,0.79575235,round_light.jpg
10,562,1339,30,30,0.78524715,left_back_bent.jpg
54,565,994,30,30,0.88646305,03_18_2023 LG 282 copy.jpg
79,588,1900,30,30,0.7765363,left_angled.jpg
9,588,1294,30,30,0.75237346,left_back_bent.jpg
53,590,947,30,30,0.8981853,03_18_2023 LG 282 copy.jpg
52,609,902,30,30,0.8475359,03_18_2023 LG 282 copy.jpg
51,633,862,30,30,0.88173527,03_18_2023 LG 282 copy.jpg
49,657,817,30,30,0.8917817,03_18_2023 LG 282 copy.jpg
47,714,727,30,30,0.8985353,03_18_2023 LG 282 copy.jpg
46,740,682,30,30,0.7578832,03_18_2023 LG 282 copy.jpg
3,758,915,30,30,0.7752258,left_back_bent.jpg
2,797,849,30,30,0.76998734,left_back_bent.jpg
30,813,604,30,30,0.8034064,round_light.jpg
45,833,566,30,30,0.81674093,03_18_2023 LG 282 copy.jpg
29,876,540,30,30,0.82677686,round_light.jpg
26,927,492,30,30,0.7890417,round_light.jpg
24,1011,433,30,30,0.84669435,round_light.jpg
22,1054,409,30,30,0.84103215,round_light.jpg
18,1150,383,30,30,0.81512856,12_20_2022 LG 282 copy 2.jpg
21,1195,384,30,30,0.8856226,round_light.jpg
43,1205,1839,30,30,0.7643405,middle round.jpg
16,1241,378,30,30,0.8726325,12_20_2022 LG 282 copy 2.jpg
17,1285,381,30,30,0.8593928,12_20_2022 LG 282 copy 2.jpg
19,1332,388,30,30,0.8476903,12_20_2022 LG 282 copy 2.jpg
23,1390,409,30,30,0.91126734,round_light.jpg
1,1396,603,30,30,0.76660526,left_back_bent.jpg
25,1492,463,30,30,0.88563555,round_light.jpg
27,1546,499,30,30,0.85839295,round_light.jpg
0,1568,428,30,30,0.78744394,left_back_bent.jpg
28,1584,531,30,30,0.910653,round_light.jpg
42,1604,1769,30,30,0.7840598,middle round.jpg
20,1647,588,30,30,0.8313664,right_small_weird.jpg
69,1684,629,30,30,0.8649694,small_round.jpg
70,1716,672,30,30,0.814229,small_round.jpg
31,1754,724,30,30,0.8435729,round_light.jpg
48,1776,765,30,30,0.79618394,03_18_2023 LG 282 copy.jpg
71,1834,841,30,30,0.7862085,small_round.jpg
72,1858,882,30,30,0.821316,small_round.jpg
50,1889,817,30,30,0.75330037,03_18_2023 LG 282 copy.jpg
73,1902,962,30,30,0.7863533,small_round.jpg
5,1933,997,30,30,0.7751873,left_back_bent.jpg
76,1958,1042,30,30,0.83788365,left_angled.jpg
41,1975,1081,30,30,0.8686383,middle round.jpg
7,1987,1139,30,30,0.81214285,left_back_bent.jpg
4,2005,922,30,30,0.7721484,left_back_bent.jpg
6,2047,1019,30,30,0.7739923,left_back_bent.jpg
8,2047,1214,30,30,0.78483915,left_back_bent.jpg
32,2079,1293,30,30,0.79205424,round_light.jpg
77,2140,1395,30,30,0.7749365,left_angled.jpg
34,2151,1439,30,30,0.82110745,round_light.jpg
35,2167,1476,30,30,0.88197047,round_light.jpg
36,2189,1511,30,30,0.7741511,round_light.jpg
37,2202,1543,30,30,0.77409613,round_light.jpg
38,2219,1575,30,30,0.80262345,round_light.jpg
11,2251,1431,30,30,0.7723121,left_back_bent.jpg
13,2259,1638,30,30,0.8191016,left_back_bent.jpg
12,2302,1556,30,30,0.7915588,left_back_bent.jpg
78,2342,1817,30,30,0.803626,left_angled.jpg
44,2544,1875,30,30,0.80651975,middle round.jpg
